AUC_mean,AUC_std,F1_mean,F1_std,ACC_mean,ACC_std,DP_mean,DP_std,EO_mean,EO_std,name,dataset,encoder,model,attack_mode
0.9471509544712908,0.0061766423731738,0.8664680807778298,0.0333678221883349,0.899470226742954,0.0381784118154018,0.0714419429882704,0.0045975570019781,0.0472401433691756,0.0167670189233313,vanilla_bail_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.036252634794284574,bail,gat,vanilla,no_attack
0.9422937559118753,0.01360298807380712,0.8661623136945547,0.022526933904829887,0.9014197923288834,0.01920810259297809,0.07229925047375581,0.006640263983736275,0.053623884694577885,0.009298131338343533,vanilla_bail_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.036252634794284574,bail,gat,vanilla,tuned_nifa
0.880958921459686,0.0058971169250281,0.7734317564870532,0.0076981306833725,0.8250900614536978,0.0066979432134396,0.0866366357730918,0.0040219573449469,0.042970334782277,0.0063945858237348,vanilla_bail_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.015423598487653298,bail,gcn,vanilla,no_attack
0.8761840969409777,0.014470526007484727,0.7580811242980022,0.02613608702760913,0.8160415342233523,0.00667729542118981,0.0882616037819947,0.009033400138481553,0.0467734309463891,0.006855914282783521,vanilla_bail_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.015423598487653298,bail,gcn,vanilla,tuned_nifa
0.8450563235253602,0.0077882578897923,0.7206524294130885,0.0163197297652835,0.7673659673659674,0.0214957521184356,0.0941465997417707,0.0258335677581488,0.0643193777167696,0.019700071390094,vanilla_bail_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.03662988795488364,bail,gin,vanilla,no_attack
0.8406189828972703,0.01804534099851399,0.7159264785397805,0.04071629736502586,0.7605424878152152,0.057693995742177547,0.08951441468513574,0.02074185454590871,0.06407763288339817,0.022392264495474972,vanilla_bail_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.03662988795488364,bail,gin,vanilla,tuned_nifa
0.9118200769576916,0.0079255749783987,0.7982667447887564,0.0498163103872127,0.8390972663699936,0.0675967458569603,0.0516603738860628,0.0403884278902406,0.0206901548082055,0.0088665996186902,vanilla_bail_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.033946860725703534,bail,sage,vanilla,no_attack
0.9123046593994607,0.00819283055314222,0.8023813411784418,0.047182437235048606,0.8412799321890232,0.06135306811678557,0.049219614927836705,0.0366679257631279,0.018847708380995996,0.019104611511767726,vanilla_bail_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.033946860725703534,bail,sage,vanilla,tuned_nifa
0.8924167477875429,0.0048103709629462,0.7947806004170209,0.0068175697834959,0.8417461326552236,0.0083454607957279,0.0475660885743617,0.002863733399507,0.0275909402882635,0.004513629859839,vanilla_bail_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.038482961843717946,bail,sgc,vanilla,no_attack
0.8864070301188038,0.0034088734048910445,0.7857146081856571,0.007889026792268982,0.8338419156600974,0.009460486661548872,0.047043195889036174,0.0057996431488502986,0.028404636620147927,0.0071022864945073,vanilla_bail_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.038482961843717946,bail,sgc,vanilla,tuned_nifa
