,,,AUC_mean,AUC_mean,F1_mean,F1_mean,DP_mean,DP_mean,EO_mean,EO_mean
attack_mode,,,no_attack,tuned_nifa,no_attack,tuned_nifa,no_attack,tuned_nifa,no_attack,tuned_nifa
dataset,encoder,model,,,,,,,,
bail,gat,edge_adder,0.933182456156462,0.9153173911679264,0.8538606426411839,0.8145486645217911,0.0748453464096643,0.07235897317923927,0.0507778540379775,0.06046213681079844
bail,gcn,edge_adder,0.8905054901996797,0.8790183723478829,0.7897605257071387,0.7694551695269541,0.0761141888064229,0.09442650386912549,0.0356005490734385,0.0428559444825745
bail,gin,edge_adder,0.8358095672124725,0.847247792517288,0.7297574705888717,0.7291085399894495,0.0694752633334579,0.12459781080249484,0.0515244413940364,0.0686456188515214
bail,sage,edge_adder,0.9050175079513764,0.8988805797387602,0.8172831371299688,0.8052759285119215,0.090218146931874,0.14221036554681052,0.0817593228094257,0.10972622588271182
bail,sgc,edge_adder,0.8994712411187946,0.8823057001956084,0.810320806590191,0.7902013638224541,0.0711215647312891,0.0752723376937079,0.0517196675055288,0.042814763974681605
german,gat,edge_adder,0.4885714285714286,0.5057066666666667,0.4941176470588234,0.4117647058823529,0.0,0.0,0.0,0.0
german,gcn,edge_adder,0.613584761904762,0.6247085714285714,0.5208971043185394,0.4796057163496055,0.0297735951991271,0.04316693944353519,0.0330882352941176,0.043172268907563024
german,gin,edge_adder,0.6802361904761904,0.6894019047619048,0.7043544183639764,0.7128086404356895,0.0902482269503546,0.06749863611565739,0.0811974789915966,0.03991596638655462
german,sage,edge_adder,0.7269104761904762,0.7228723809523809,0.7450860970807099,0.7706278944732887,0.0801418439716312,0.09308510638297873,0.0422268907563025,0.053676470588235305
german,sgc,edge_adder,0.6263580952380952,0.6469714285714285,0.4775105431189073,0.6912136398972961,0.0158892525913802,0.02752318603382433,0.0171218487394958,0.028046218487394952
nba,gat,edge_adder,0.7555128205128205,0.7556410256410256,0.7356014856135411,0.7262210999474876,0.2272727272727273,0.23221690590111646,0.1466666666666666,0.11333333333333333
nba,gcn,edge_adder,0.7335897435897436,0.6871794871794872,0.6981312266746686,0.6711938937521365,0.2371610845295056,0.39457735247208936,0.1066666666666667,0.35
nba,gin,edge_adder,0.5912820512820514,0.5782692307692308,0.5291177091830594,0.5148787770904995,0.1196969696969697,0.05303030303030305,0.1133333333333333,0.09333333333333331
nba,sage,edge_adder,0.647948717948718,0.6423076923076924,0.5322826821047517,0.5539054522904558,0.1353269537480063,0.10271132376395535,0.1366666666666666,0.09999999999999998
nba,sgc,edge_adder,0.722948717948718,0.7083333333333333,0.6519804756646861,0.6558016877637132,0.2517543859649123,0.4213716108452951,0.1099999999999999,0.32666666666666677
pokec_n,gat,edge_adder,0.7522631139972,0.7413788024717101,0.6647507859957171,0.657859261533439,0.0123725453392612,0.020358381168226608,0.0141924816224077,0.03163734884554853
pokec_n,gcn,edge_adder,0.7474275085308418,0.7284799380417623,0.6682955752087262,0.6490794272859437,0.0071939570685918,0.021432927028558996,0.0141367013964977,0.03093411956889852
pokec_n,gin,edge_adder,0.7341812046773174,0.704866386001145,0.6486295239559376,0.6331215604796504,0.0211286887029343,0.016093908603370528,0.0296192999581648,0.023040819172460515
pokec_n,sage,edge_adder,0.7464435243381358,0.7311561897007669,0.667827938450059,0.66537203973166,0.019577147947792,0.05430336613840507,0.0169986254158615,0.0413231866446202
pokec_n,sgc,edge_adder,0.7497530937747195,0.7423198842254723,0.6720952026830457,0.6576315328730955,0.0085267973453385,0.02051180767804899,0.0185501125565272,0.024096659162898194
pokec_z,gat,edge_adder,0.7794399206167469,0.7735803373788261,0.6964156777564907,0.7038975279998226,0.0440569834446172,0.037951614378487146,0.0440285714285714,0.03485714285714288
pokec_z,gcn,edge_adder,0.7697638348217694,0.7491107549042058,0.7091600344622799,0.6927642885565762,0.0342301504888061,0.011070100774234514,0.0279714285714285,0.011371428571428565
pokec_z,gin,edge_adder,0.7424895198839783,0.7162932905885048,0.6857430094493182,0.6701617375231391,0.0209766976396339,0.018670538735937065,0.0246857142857142,0.020428571428571452
pokec_z,sage,edge_adder,0.7794854438592473,0.7659051370124418,0.7137265635630669,0.7112302937654491,0.0486757576898865,0.017220530396371513,0.0551428571428571,0.02045714285714285
pokec_z,sgc,edge_adder,0.7676935195786581,0.7641889932066255,0.7099735682565593,0.7088500654586187,0.0400819698591958,0.051947154055988085,0.0301142857142856,0.03468571428571425
