dataset,backbone,model,lambda_dp,lambda_eo,AUC_mean,AUC_std,F1_mean,F1_std,DP_mean,DP_std,EO_mean,EO_std
bail,gcn,edge_adder,0.0,1.0,0.9061818699433377,0.0007223262981218771,0.8237714809103643,0.006898580212731113,0.07384668500343634,0.001089847927528498,0.04555021734156941,0.0030875248890496402
bail,gcn,edge_adder,0.0,5.0,0.9121690497837287,0.0030295388229007857,0.8320041725240053,0.005511606440803237,0.04980648980742077,0.004959887316485181,0.03090215816365439,0.00686952777191354
bail,gcn,edge_adder,0.0,10.0,0.909126576882693,0.003506748246322041,0.8306811059107441,0.0066214180034093765,0.03914401888696861,0.005057955585330266,0.021785251277358354,0.004358873252886842
bail,gcn,edge_adder,0.1,0.0,0.8978384730296044,0.001284093534116173,0.8125246081261942,0.005426054063764688,0.07964622159981365,0.004410173060167583,0.049259513459925255,0.0022937394776964284
bail,gcn,edge_adder,0.5,0.0,0.8962799381950758,0.0019136197342438206,0.8110326331266459,0.008048767951132147,0.07797105632446018,0.004329298455956213,0.04731259055898727,0.0039020481281237663
bail,gcn,edge_adder,1.0,0.0,0.8963292229538407,0.000970798195061802,0.8065416119058686,0.004967243691845649,0.07996836116438966,0.0030267566084062414,0.0475840768702814,0.0038296655225304272
bail,gcn,edge_adder,5.0,0.0,0.8870590582937676,0.0013495845240012155,0.7990619269839779,0.004144814497408803,0.0765124240481031,0.0022657101865416907,0.04454587051018075,0.0017282656116074516
bail,gcn,edge_adder,10.0,0.0,0.8817036646738481,0.0010649962368968367,0.7875099499766576,0.005320223364601821,0.07591913297656669,0.0018573007473861318,0.04183558300922748,0.002130419688087526
bail,gin,vanilla,0.0,0.0,0.8639779879267647,0.01195479246991102,0.7603373807025657,0.019710324811284288,0.0883888852145057,0.018373336990208475,0.06320826660565854,0.007920684988285645
bail,gin,edge_adder,0.0,0.1,0.8452979546825112,0.010553177376171922,0.7345606641127638,0.019519504064656756,0.1104897369684805,0.018284998376482117,0.07081979714786855,0.006613815653548092
bail,gin,edge_adder,0.0,0.5,0.8548221003878496,0.00991891106029192,0.7306243663177083,0.01847967713911611,0.11106023887644392,0.024071279898991584,0.06871577823533899,0.01332235616089819
bail,gin,edge_adder,0.0,1.0,0.8466864035289111,0.0234184260444916,0.7258887649771603,0.03730780111920688,0.1104074767147947,0.02858531390020279,0.0655479295355754,0.010323990286536923
