AUC_mean,AUC_mean,F1_mean,F1_mean,DP_mean,DP_mean,EO_mean,EO_mean
no_attack,degree,no_attack,degree,no_attack,degree,no_attack,degree
0.9331824561564621,0.9348764475484659,0.8538606426411839,0.8483196561573063,0.07484534640966434,0.07626717095179625,0.05077785403797756,0.043177762525737795
0.8905054901996797,0.8906502737446929,0.7897605257071387,0.7892091973198091,0.07611418880642296,0.07696685938007723,0.035600549073438584,0.03535422862807901
0.8358095672124725,0.8355091903830436,0.7297574705888717,0.7292134393909506,0.06947526333345795,0.07508506396781624,0.051524441394036426,0.05584534431480209
0.9050175079513764,0.9043775618125771,0.8172831371299688,0.814747652143318,0.09021814693187406,0.09057055223103756,0.08175932280942574,0.08024479524136353
0.8994712411187946,0.8993673910913973,0.810320806590191,0.8095445959501733,0.07112156473128915,0.07124622217493451,0.05171966750552885,0.04992526500419433
0.4885714285714286,0.501527619047619,0.49411764705882344,0.4117647058823529,0.0,0.0,0.0,0.0
0.613584761904762,0.6135009523809524,0.5208971043185394,0.518620792942982,0.029773595199127128,0.02620021822149482,0.033088235294117634,0.029306722689075644
0.6802361904761904,0.6791466666666668,0.7043544183639764,0.7075068379678494,0.0902482269503546,0.07875068194217132,0.08119747899159663,0.07331932773109243
0.7269104761904762,0.7266514285714285,0.7450860970807099,0.7440589294782392,0.0801418439716312,0.08375613747954173,0.0422268907563025,0.049579831932773134
0.6263580952380952,0.6264228571428572,0.4775105431189073,0.47595061180095355,0.015889252591380243,0.015671031096563006,0.01712184873949581,0.013655462184873957
0.7555128205128205,0.7521794871794872,0.7356014856135411,0.7478210724078401,0.2272727272727273,0.2370015948963317,0.14666666666666667,0.12333333333333334
0.7335897435897436,0.7320512820512821,0.6981312266746686,0.6828814379987365,0.23716108452950563,0.2522328548644338,0.10666666666666676,0.12000000000000006
0.5912820512820514,0.5917948717948718,0.5291177091830594,0.5292123778988853,0.1196969696969697,0.10255183413078153,0.11333333333333333,0.09333333333333332
0.647948717948718,0.6466666666666666,0.5322826821047517,0.5282526127961183,0.13532695374800635,0.13149920255183414,0.13666666666666666,0.14666666666666664
0.722948717948718,0.7257051282051282,0.6519804756646861,0.6623920488793906,0.2517543859649123,0.3430622009569378,0.10999999999999999,0.22000000000000006
0.7522631139972,0.7302711665822683,0.6647507859957171,0.6576883968750161,0.012372545339261215,0.0702897921411636,0.014192481622407726,0.06354124748490945
0.7474275085308418,0.7491622233475321,0.6682955752087262,0.6686688549217551,0.007193957068591833,0.03390483074058408,0.014136701396497775,0.023981114409227667
0.7341812046773174,0.7237494166592198,0.6486295239559376,0.6509700614362146,0.021128688702934318,0.07307369421713726,0.029619299958164834,0.06542582226029445
0.7464435243381358,0.7349651567655947,0.667827938450059,0.6745898408670531,0.01957714794779203,0.059495774934609315,0.016998625415861522,0.04817857640894874
0.7497530937747195,0.7510271762334554,0.6720952026830457,0.6754571557593837,0.00852679734533851,0.017120269388189623,0.018550112556527276,0.02102197342470664
0.7794399206167469,0.7155974047782612,0.6964156777564907,0.6690912312863012,0.04405698344461721,0.24261504565239617,0.04402857142857144,0.21817142857142854
0.7697638348217694,0.7637198381802915,0.7091600344622799,0.7024499938454374,0.03423015048880615,0.14833397000984608,0.02797142857142858,0.11399999999999999
0.7424895198839783,0.7355638806197999,0.6857430094493182,0.6824329067655495,0.020976697639633907,0.05076979570754488,0.024685714285714276,0.0507142857142857
0.7794854438592473,0.7686112815815587,0.7137265635630669,0.7104670143193973,0.048675757689886516,0.16968419948240893,0.055142857142857125,0.15048571428571428
0.7676935195786581,0.7610434623311197,0.7099735682565593,0.7087562552589858,0.04008196985919584,0.09401299896158956,0.030114285714285694,0.06694285714285711
