AUC_mean,AUC_mean,F1_mean,F1_mean,DP_mean,DP_mean,EO_mean,EO_mean
no_attack,degree,no_attack,degree,no_attack,degree,no_attack,degree
0.9471509544712908,0.9364234838814349,0.8664680807778298,0.8478930961061225,0.0714419429882704,0.0767206537398671,0.04724014336917563,0.04514908869061237
0.880958921459686,0.8812143948229576,0.7734317564870532,0.7730627329405331,0.08663663577309182,0.0878760391714809,0.042970334782277096,0.04428277282086478
0.8450563235253602,0.8445170801535479,0.7206524294130885,0.7197789506005153,0.09414659974177073,0.09754518652606878,0.06431937771676963,0.066769617936399
0.9118200769576916,0.911485089829891,0.7982667447887564,0.7974212557684095,0.051660373886062816,0.052517393811124545,0.020690154808205585,0.019884084496301378
0.8924167477875429,0.8923129168924275,0.7947806004170209,0.7931553808934247,0.0475660885743617,0.04653586741163987,0.027590940288263543,0.0283009227484176
0.48048761904761905,0.49091428571428575,0.5068160597572361,0.32941176470588235,0.00726950354609929,0.0,0.007457983193277312,0.0
0.6526247619047619,0.6524342857142857,0.6310977750439652,0.6279157812735969,0.12959629023458813,0.1098063284233497,0.11859243697478994,0.10000000000000002
0.689272380952381,0.688007619047619,0.7745271555276015,0.7759060260447346,0.2064648117839607,0.19541734860883797,0.17153361344537815,0.16418067226890756
0.6419428571428571,0.6431542857142857,0.5051983820770701,0.5193183667967782,0.17024004364429896,0.17007637752318602,0.16228991596638653,0.15798319327731092
0.6841676190476191,0.6838780952380954,0.5912822971541456,0.5891769535977514,0.24690398254228044,0.24755864702673214,0.1917016806722689,0.19075630252100845
0.6626923076923077,0.6580128205128206,0.6232256910766372,0.6182877622884433,0.21036682615629987,0.19043062200956937,0.22999999999999998,0.2066666666666667
0.7344871794871797,0.7278846153846155,0.6633801092086866,0.6683635455485251,0.26148325358851665,0.3138755980861244,0.18333333333333338,0.20333333333333337
0.5462820512820514,0.548974358974359,0.3836128794278452,0.38249260895880727,0.07041467304625201,0.06762360446570975,0.06333333333333332,0.07333333333333333
0.6443589743589744,0.6360897435897436,0.5263773970232042,0.5263199842955691,0.1259170653907496,0.11403508771929827,0.11333333333333331,0.11666666666666665
0.7230128205128206,0.7176282051282051,0.6265938416760806,0.6178469219858045,0.28516746411483257,0.31874003189792666,0.17999999999999997,0.23666666666666664
0.7589515504453248,0.731898728730816,0.6471187689986415,0.6637514532501221,0.018610551597718114,0.132228158200194,0.026345399127437892,0.09057911827400042
0.7420690890616569,0.7401273089538258,0.6502291238413604,0.6430491940926965,0.015469743788000607,0.05755090949330031,0.02155826045381199,0.05715321632766901
0.7056698241537835,0.6926804384736827,0.5872500772914373,0.5724251400569313,0.022206409548862552,0.11102467057189894,0.036493814371376755,0.13350837699464116
0.7283323238641818,0.7027145618407421,0.6674695243313007,0.6683068794894627,0.020916711723447546,0.07164485731708113,0.023621331952108703,0.059769308922844
0.7568130065963017,0.7556307692816882,0.6694475483435286,0.674966183259943,0.015498225276433852,0.04432849521557685,0.030889495388170606,0.04735741179751779
0.7874179375620182,0.768340065643844,0.6916895803784239,0.6947426040277143,0.041513819467236264,0.15407562640898304,0.03451428571428573,0.12057142857142855
0.7817367529196245,0.7742471872376154,0.7056386232030379,0.7010499332643422,0.044447194408724806,0.15453645466235522,0.02462857142857141,0.11457142857142855
0.7358461796809403,0.7195495305701856,0.6403633284546284,0.6320947716688551,0.03630885446650992,0.15763124055073416,0.039199999999999985,0.15205714285714284
0.7512699183268452,0.7237714372948629,0.6795441860985235,0.6694402100177743,0.023157763059490695,0.1443698516633398,0.027857142857142875,0.13579999999999998
0.7770754598885581,0.7693465231661705,0.7100042276442263,0.7090979468126477,0.03482844706527996,0.14335215564319573,0.03322857142857143,0.10477142857142856
