dataset,encoder,model,attack_mode,AUC_mean_clean,AUC_std_clean,F1_mean_clean,F1_std_clean,ACC_mean_clean,ACC_std_clean,DP_mean_clean,DP_std_clean,EO_mean_clean,EO_std_clean,AUC_mean_attacked,AUC_std_attacked,F1_mean_attacked,F1_std_attacked,ACC_mean_attacked,ACC_std_attacked,DP_mean_attacked,DP_std_attacked,EO_mean_attacked,EO_std_attacked,AUC_mean_defended,AUC_std_defended,F1_mean_defended,F1_std_defended,ACC_mean_defended,ACC_std_defended,DP_mean_defended,DP_std_defended,EO_mean_defended,EO_std_defended
bail,gat,vanilla,tuned_nifa,0.9418414017993528,0.0104810084228694,0.8669837989374753,0.0172379752365218,0.9040474676838312,0.0144564395919578,0.0750779288748048,0.0037047198496622,0.0521947685502935,0.0096221831340051,0.9358980157527558,0.0087018382766661,0.862272613287138,0.0168913159060046,0.9008688281415556,0.0109250703725172,0.0769803567474615,0.0080399917531024,0.0528376420346221,0.0099371062210314,0.9094883587716158,0.0076549369686362,0.8128382430635502,0.0177924621184162,0.8695698241152787,0.0094968709142328,0.0699480665874916,0.010010310870736,0.0519858156028368,0.014441982778806
bail,gcn,vanilla,tuned_nifa,0.9047864952108072,0.0013609024549648,0.8086452184190863,0.006611186952455,0.8511337147700784,0.0083360120803254,0.0624292421632595,0.0028369074279794,0.032345001143903,0.0037946100700477,0.9010986904335528,0.0078008619881047,0.796296800791702,0.013683862652799,0.8388005933460478,0.0142225877178515,0.0644884443843762,0.0050798872668759,0.034645771371921,0.0072579700766619,0.8894042360403216,0.0173043835508997,0.7894195811270328,0.0333796393232921,0.8371688917143463,0.0347798882889872,0.0311419851158724,0.0053291425952002,0.0225539540913597,0.0066220585225248
bail,gin,vanilla,tuned_nifa,0.8535745416670493,0.0104898751338443,0.7442040466355178,0.018288231266226,0.7910998092816274,0.0207882486030241,0.0943118571227279,0.012848756758887,0.0624449020056432,0.009313402030678,0.855276692977381,0.0159962864834015,0.7400535187947276,0.0352524638607925,0.783237974147065,0.0467697273493303,0.0980091832421287,0.0136491884698058,0.0705414474185922,0.0065654889800166,0.8533324800335503,0.0099103253944388,0.7307085911198083,0.0177546170381811,0.7735961008688281,0.0243233112649771,0.1140835053903201,0.0163533637492099,0.0656745214672462,0.0083606797718196
bail,sage,vanilla,tuned_nifa,0.915550967634301,0.0058056492434387,0.8260085136502611,0.0164366625858244,0.8720067810976901,0.0219740853330201,0.0243741606830135,0.0192734670412319,0.0140334019675131,0.0093271903480594,0.920603525926538,0.0090647647740824,0.8316654395303293,0.0149242207920729,0.8758847213392669,0.0136565804724671,0.02313896285582,0.0174208323887764,0.0132418210935712,0.0112538069569315,0.9222043144061493,0.0090418558009127,0.8228745083549887,0.0304603999970557,0.8650561559652468,0.0349899158233584,0.0321243454405857,0.0133432512677128,0.0226096240372149,0.0121492636207091
bail,sgc,vanilla,tuned_nifa,0.88765248428857,0.0015636559472076,0.7873150039795429,0.005932931051207,0.8347955075227803,0.0073188209015118,0.0437672356528915,0.0038570871841986,0.0236879432624113,0.0061663158182481,0.8873625823836069,0.0065447323374058,0.7733148986858799,0.0332529122513179,0.8152998516634881,0.0454925596221582,0.0414510263031519,0.0062900789131617,0.0200526195378631,0.0042675023154301,0.9011921611978952,0.0063180169951643,0.8110381775140667,0.008083506270883,0.8571731299004026,0.0070448290793108,0.0522710803357555,0.0064420517738683,0.0336429497445283,0.0053196474194519
german,gat,vanilla,tuned_nifa,0.566487619047619,0.0289083778392536,0.5521472116887732,0.171487562305505,0.5187999999999999,0.0837529700965882,0.0612656846699399,0.0462395735637986,0.0763655462184873,0.0380856627496861,0.5204342857142856,0.0188113359946805,0.6386016706014485,0.0804826728728763,0.5548,0.0543190574292301,0.4650436442989634,0.1206004509451132,0.5227941176470587,0.1262026828969874,0.4951352380952381,0.0520710208880767,0.5464130543587193,0.2437999437545497,0.512,0.1274362585765919,0.1054418985270049,0.0862170929822658,0.1328781512605042,0.0855937759909188
german,gcn,vanilla,tuned_nifa,0.7426971428571428,0.0117600413407267,0.7603773916005582,0.0689067877678036,0.69,0.0502553479741211,0.320430987452264,0.0914229732964241,0.2581932773109243,0.09350840100138,0.7238780952380951,0.0135413627197704,0.708893979429346,0.0869641194554073,0.6504000000000001,0.0667940117076373,0.4008046917621386,0.0423335309490742,0.3480042016806722,0.053744263131094,0.5740342857142857,0.102786418295128,0.7820911800915125,0.0486115766345357,0.6784,0.0395656416604103,0.1232133115111838,0.1041539848954125,0.123109243697479,0.1048315117621764
german,gin,vanilla,tuned_nifa,0.6833980952380952,0.026715822992862,0.6241708656045063,0.2247602965699149,0.5971999999999998,0.1152673414285243,0.2503818876159301,0.104912902149251,0.228781512605042,0.1085372276178565,0.6740114285714285,0.0197363689520243,0.5780269602645627,0.1591050814547373,0.5644,0.097594262126418,0.3105019094380796,0.1154078957992556,0.2737394957983193,0.1110420816729711,0.6552304761904761,0.046310266817396,0.7178203185776783,0.1921733245337074,0.6516,0.1081399093766958,0.2200900163666121,0.1312614230928071,0.1831932773109243,0.1061862053379893
german,sage,vanilla,tuned_nifa,0.6255085714285715,0.0724812361925484,0.5717136659433394,0.3285433845160603,0.574,0.1763383112088805,0.0828423349699945,0.0798887310748484,0.0503151260504201,0.065301082899637,0.5774019047619048,0.1062053217724475,0.3449575477203317,0.3416607786093568,0.454,0.1724204164245058,0.095785597381342,0.1511570570430961,0.093172268907563,0.1522421244207141,0.6436038095238095,0.0512081065011055,0.5609939676241626,0.2733399567737193,0.5588000000000001,0.1455587853755313,0.0697081287506819,0.0437928990452258,0.04390756302521,0.0271724024228338
german,sgc,vanilla,tuned_nifa,0.6979123809523808,0.0118986230267191,0.6348553159630883,0.1858095104731201,0.5972000000000001,0.1173855186980063,0.2471085651936716,0.0796849540971497,0.1836134453781512,0.0572123280129488,0.6766171428571428,0.0331519322003526,0.7001348508215901,0.1067856572102254,0.6308,0.0738658243032595,0.2644571740316421,0.0807910333938616,0.2009453781512605,0.0670642893088518,0.6792380952380952,0.0267789310352801,0.6554106456487802,0.1929456205912683,0.6056,0.1066463313949429,0.1708674304418985,0.1045064182590564,0.1131302521008403,0.0774210971698631
