AUC_mean,AUC_std,F1_mean,F1_std,ACC_mean,ACC_std,DP_mean,DP_std,EO_mean,EO_std,name,dataset,encoder,model,attack_mode
0.9364234838814349,0.015203062730194715,0.8478930961061225,0.0376157779003325,0.8802712439076077,0.03866772869317671,0.0767206537398671,0.019598069664628414,0.04514908869061237,0.009961752995907036,vanilla_bail_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.036252634794284574,bail,gat,vanilla,degree
0.8812143948229576,0.005877912195265694,0.7730627329405331,0.007592337517869217,0.8243483788938335,0.006855814530225485,0.0878760391714809,0.00498519435213756,0.04428277282086478,0.007443444609668742,vanilla_bail_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.015423598487653298,bail,gcn,vanilla,degree
0.8445170801535479,0.007941769354553489,0.7197789506005153,0.016338669030906635,0.7666030938758212,0.021537158853136423,0.09754518652606878,0.030124748858247157,0.066769617936399,0.02111078103241389,vanilla_bail_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.03662988795488364,bail,gin,vanilla,degree
0.911485089829891,0.008189333289277349,0.7974212557684095,0.04994669852852103,0.8383132019495656,0.06785281608186507,0.052517393811124545,0.04104495163714565,0.019884084496301378,0.01061001787905168,vanilla_bail_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.033946860725703534,bail,sage,vanilla,degree
0.8923129168924275,0.004733374907303878,0.7931553808934247,0.007314037272032053,0.8399872854418309,0.008885774255400528,0.04653586741163987,0.003174436376141974,0.0283009227484176,0.005718411088468396,vanilla_bail_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.038482961843717946,bail,sgc,vanilla,degree
0.49091428571428575,0.06567169192415714,0.32941176470588235,0.40344536939958225,0.45999999999999996,0.19595917942265426,0.0,0.0,0.0,0.0,vanilla_german_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0040875779010632,german,gat,vanilla,degree
0.6524342857142857,0.022452411634579842,0.6279157812735969,0.26628125799664104,0.592,0.14403332947620143,0.1098063284233497,0.07641710089253988,0.10000000000000002,0.06528815553065621,vanilla_german_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.014400076721566254,german,gcn,vanilla,degree
0.688007619047619,0.07665072757116015,0.7759060260447346,0.02966217222556772,0.6891999999999999,0.021985449733858048,0.19541734860883797,0.08091007032866789,0.16418067226890756,0.08339840014454976,vanilla_german_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0016102038883533546,german,gin,vanilla,degree
0.6431542857142857,0.07495588069520395,0.5193183667967782,0.27194380690956277,0.5464,0.1512,0.17007637752318602,0.16022871230501987,0.15798319327731092,0.16461877090992497,vanilla_german_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.008248896555909517,german,sage,vanilla,degree
0.6838780952380954,0.011017440554497306,0.5891769535977514,0.1887755782036996,0.5683999999999999,0.09657245984233807,0.24755864702673214,0.08470205921716545,0.19075630252100845,0.0567347481734711,vanilla_german_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.03558271965216747,german,sgc,vanilla,degree
0.6580128205128206,0.05009626663044868,0.6182877622884433,0.05323761819087455,0.6215189873417721,0.04253239902888972,0.19043062200956937,0.0757464946147404,0.2066666666666667,0.07571877794400367,vanilla_nba_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0006118713031011232,nba,gat,vanilla,degree
0.7278846153846155,0.009426564852469727,0.6683635455485251,0.03336337244731757,0.660759493670886,0.026431155718760882,0.3138755980861244,0.06471742656669113,0.20333333333333337,0.0874960316560446,vanilla_nba_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0005602617956493825,nba,gcn,vanilla,degree
0.548974358974359,0.0779726473053894,0.38249260895880727,0.2754733926331002,0.5354430379746835,0.03491927651679421,0.06762360446570975,0.0627392566222114,0.07333333333333333,0.06960204339273698,vanilla_nba_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0381397720513228,nba,gin,vanilla,degree
0.6360897435897436,0.022685516150134817,0.5263199842955691,0.038934018415432446,0.5645569620253166,0.015189873417721518,0.11403508771929827,0.027828541686060998,0.11666666666666665,0.042817441928883766,vanilla_nba_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0006778779553232976,nba,sage,vanilla,degree
0.7176282051282051,0.007377366901971984,0.6178469219858045,0.03244134261105139,0.6443037974683545,0.018299787714937916,0.31874003189792666,0.07671521815935078,0.23666666666666664,0.08491826135238,vanilla_nba_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.005422777365223869,nba,sgc,vanilla,degree
0.731898728730816,0.007705647664912776,0.6637514532501221,0.017328195621721717,0.668409090909091,0.014148343360079677,0.132228158200194,0.06413222195695358,0.09057911827400042,0.044280081210574994,vanilla_pokec_n_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.005893711998150697,pokec_n,gat,vanilla,degree
0.7401273089538258,0.008232186348563434,0.6430491940926965,0.026014716729888136,0.6752727272727272,0.03051567812732084,0.05755090949330031,0.04587032327293262,0.05715321632766901,0.03357345792477974,vanilla_pokec_n_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.012987273520401443,pokec_n,gcn,vanilla,degree
0.6926804384736827,0.022174324283463526,0.5724251400569313,0.06923009570422214,0.6343181818181819,0.0289957605906692,0.11102467057189894,0.0841350782744772,0.13350837699464116,0.09160429643080105,vanilla_pokec_n_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.026249028382697385,pokec_n,gin,vanilla,degree
0.7027145618407421,0.010486392607709024,0.6683068794894627,0.008106454428449558,0.6351818181818183,0.016963987134637093,0.07164485731708113,0.06014795805291161,0.059769308922844,0.06033300320962278,vanilla_pokec_n_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.002106183402786513,pokec_n,sage,vanilla,degree
0.7556307692816882,0.005889786825319356,0.674966183259943,0.013748092714143364,0.6918636363636363,0.017374639540823678,0.04432849521557685,0.04229474609287054,0.04735741179751779,0.04378621811502438,vanilla_pokec_n_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.010611927763057845,pokec_n,sgc,vanilla,degree
0.768340065643844,0.012897098323472814,0.6947426040277143,0.01664655527253245,0.698207326578332,0.007819910934487296,0.15407562640898304,0.07824395897748967,0.12057142857142855,0.06276408696256877,vanilla_pokec_z_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0038518302623594828,pokec_z,gat,vanilla,degree
0.7742471872376154,0.003982281496847598,0.7010499332643422,0.01484137264228868,0.705066250974279,0.005282856805247252,0.15453645466235522,0.04683556095402295,0.11457142857142855,0.039443475444007725,vanilla_pokec_z_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.011782659818013594,pokec_z,gcn,vanilla,degree
0.7195495305701856,0.013099719304199644,0.6320947716688551,0.049542831505495884,0.652689010132502,0.01410282278356223,0.15763124055073416,0.08289935070455726,0.15205714285714284,0.0859907731167972,vanilla_pokec_z_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.04606907413160195,pokec_z,gin,vanilla,degree
0.7237714372948629,0.03424792823611816,0.6694402100177743,0.09154068798673415,0.628526890101325,0.04336697105802206,0.1443698516633398,0.07774059247917989,0.13579999999999998,0.08048810788063093,vanilla_pokec_z_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.04962229670358684,pokec_z,sage,vanilla,degree
0.7693465231661705,0.004785590253409088,0.7090979468126477,0.0075587402961372705,0.6985190958690569,0.007425412541739393,0.14335215564319573,0.043954226089356105,0.10477142857142856,0.03289861978371538,vanilla_pokec_z_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.004480876840832734,pokec_z,sgc,vanilla,degree
