AUC_mean,AUC_std,F1_mean,F1_std,ACC_mean,ACC_std,DP_mean,DP_std,EO_mean,EO_std,name,dataset,encoder,model,attack_mode
0.9357456653901609,0.010758122201645955,0.8382227059814648,0.023124641519652444,0.8765840220385674,0.018729761698889357,0.09158939678449937,0.009864544780197191,0.05883931975901777,0.011702624098223742,vanilla_bail_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.013388479218106385,bail,gat,vanilla_dp_eo,degree
0.8832664181765864,0.02137551868686053,0.7697788394468755,0.038192686385151706,0.8130748039838951,0.04123685884060998,0.10045885657348749,0.017251466592052223,0.054812018607488765,0.011863752125952856,vanilla_bail_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.042271562098662695,bail,gcn,vanilla_dp_eo,degree
0.8657663397342297,0.010674651695860134,0.7567619032273005,0.015160376061983364,0.8031362576817124,0.01828201378836415,0.08929989460910474,0.015028026225745039,0.0628574696865706,0.009229172617734278,vanilla_bail_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0017982076327360563,bail,gin,vanilla_dp_eo,degree
0.912281337147545,0.006735518091312251,0.7952591895015113,0.06342097316722667,0.8284806102987922,0.09488839542700826,0.057381442431841,0.05049295783887771,0.018779836803172422,0.013731794184899341,vanilla_bail_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0467922374210601,bail,sage,vanilla_dp_eo,degree
0.9084981388115944,0.002840224172543874,0.8246869239812316,0.004280562786674227,0.868743377834287,0.004544157712627327,0.07058860743113646,0.005692844734669387,0.04786776481354381,0.0031841157666762767,vanilla_bail_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.02836121890949454,bail,sgc,vanilla_dp_eo,degree
0.5088952380952381,0.04475780730992912,0.25975723622782443,0.3709432337842692,0.42400000000000004,0.1810635247641004,0.00045008183306055675,0.00135024549918167,0.0022058823529411764,0.0066176470588235285,vanilla_german_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0006701202831765846,german,gat,vanilla_dp_eo,degree
0.6206857142857143,0.012219358642072164,0.5626207814326881,0.2519807589337121,0.5524,0.13620513940376844,0.0438897981451173,0.049396449051269456,0.0342436974789916,0.03124607171129179,vanilla_german_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.006111067593831892,german,gcn,vanilla_dp_eo,degree
0.6087619047619047,0.07931624717395318,0.5775786225363058,0.2755489780508594,0.5688000000000001,0.1495144140208562,0.11571194762684126,0.1289670774113947,0.10115546218487396,0.12198453929258693,vanilla_german_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.004150624347498155,german,gin,vanilla_dp_eo,degree
0.6279619047619047,0.08115838706740804,0.44586692521943744,0.29747085530770845,0.5044000000000001,0.14867360222985113,0.13986633933442444,0.1457986142462506,0.13960084033613446,0.15655239610365665,vanilla_german_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.044752276059112965,german,sage,vanilla_dp_eo,degree
0.6479466666666667,0.003313900360739141,0.567904298269552,0.15498193572140828,0.5431999999999999,0.09119298218613096,0.03956628477905073,0.029425750167945897,0.02216386554621849,0.019095991520961454,vanilla_german_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.038564040532636776,german,sgc,vanilla_dp_eo,degree
0.7575641025641024,0.023081908293440496,0.6788765533803214,0.137028680370258,0.6759493670886075,0.06750527405556145,0.12846889952153112,0.07043815005245566,0.06333333333333332,0.0604611904907235,vanilla_nba_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0011354096277752651,nba,gat,vanilla_dp_eo,degree
0.6625,0.02000421142379036,0.6066927156871771,0.04684365092353187,0.6113924050632911,0.03924050632911392,0.3612440191387559,0.09479374724077372,0.3266666666666667,0.09165151389911681,vanilla_nba_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0008252706838519047,nba,gcn,vanilla_dp_eo,degree
0.5951923076923077,0.01735570264210538,0.5648988590176862,0.07730010228416494,0.5670886075949367,0.02025316455696204,0.11299840510366825,0.06349014672133416,0.10666666666666665,0.08,vanilla_nba_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.027788680275339837,nba,gin,vanilla_dp_eo,degree
0.6192948717948719,0.011015387301245898,0.566360254739207,0.03725265201483183,0.5721518987341773,0.021778038650740832,0.034370015948963314,0.03564236483502348,0.05333333333333332,0.04760952285695232,vanilla_nba_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0017512479096343009,nba,sage,vanilla_dp_eo,degree
0.6842948717948718,0.02159837896004031,0.6134778273444486,0.040543337690387184,0.6253164556962025,0.03212298111506209,0.41905901116427435,0.10183088348582246,0.32,0.08844332774281069,vanilla_nba_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.001069851314561458,nba,sgc,vanilla_dp_eo,degree
0.751798923674203,0.004252467299593944,0.6576985980218966,0.012670923145462433,0.6869090909090909,0.011055457498261556,0.021347109035542107,0.015986232113829636,0.03164691116999022,0.022188207223241028,vanilla_pokec_n_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.005770187475330846,pokec_n,gat,vanilla_dp_eo,degree
0.7524806463250358,0.0046642195594535545,0.6422853822779692,0.027227703792705026,0.6936818181818183,0.01072659859206877,0.018243373851752447,0.016189342509081737,0.0402350738091918,0.023160108886924734,vanilla_pokec_n_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.006408418228339157,pokec_n,gcn,vanilla_dp_eo,degree
0.676383469197952,0.013658073455247183,0.6132103461818698,0.014880141942078054,0.6269090909090909,0.011798585151205536,0.021691875118478327,0.017005418419746298,0.024684343685877665,0.01363906128060629,vanilla_pokec_n_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.00023963843252181762,pokec_n,gin,vanilla_dp_eo,degree
0.7380823064880734,0.011012375678893726,0.5863634988580149,0.09981795532637186,0.6516363636363637,0.04784755406237676,0.025892194297912625,0.020772406816172057,0.045906329063489834,0.037881689242865446,vanilla_pokec_n_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.03304764915326656,pokec_n,sage,vanilla_dp_eo,degree
0.7494001932885195,0.0042102945369990276,0.6630014575707602,0.009145148334135073,0.6938636363636365,0.008844968687020891,0.02553893045941108,0.013126719399862168,0.041859473673725514,0.032803939264666175,vanilla_pokec_n_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0041404094148393715,pokec_n,sgc,vanilla_dp_eo,degree
0.7808604534005037,0.0028481524394726064,0.7069843952973831,0.016889247263289796,0.7057677318784099,0.011065339541872254,0.05182219508127041,0.019158834342306863,0.046342857142857144,0.015512891281716882,vanilla_pokec_z_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0009300863934617711,pokec_z,gat,vanilla_dp_eo,degree
0.7782352186855965,0.002757123150268688,0.7090153113769943,0.015687783702902552,0.7081449727201871,0.008232882663756541,0.032937248804213906,0.014617143242586384,0.018714285714285704,0.008162882644092354,vanilla_pokec_z_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.009375678985580213,pokec_z,gcn,vanilla_dp_eo,degree
0.7101249675597283,0.011771341738177673,0.668536776335477,0.007823469832233415,0.6539360872954014,0.009826607504335654,0.04044178176163906,0.016411176489485813,0.046200000000000005,0.013582131118284992,vanilla_pokec_z_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.00011356328667553113,pokec_z,gin,vanilla_dp_eo,degree
0.7695224181360201,0.010046795629407447,0.7050728595544589,0.02036702558225809,0.6892049883086516,0.013373696591929878,0.023763592146819407,0.01186743859589295,0.017000000000000015,0.01053836528391106,vanilla_pokec_z_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.01930995893352443,pokec_z,sage,vanilla_dp_eo,degree
0.7658548813067705,0.0020108402617394876,0.7063154218634766,0.007894503884358393,0.6953624318004675,0.00915291466533898,0.028299777790929792,0.005351801154785037,0.02371428571428571,0.009625646015956007,vanilla_pokec_z_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.002544940152170191,pokec_z,sgc,vanilla_dp_eo,degree
