AUC_mean,AUC_std,F1_mean,F1_std,ACC_mean,ACC_std,DP_mean,DP_std,EO_mean,EO_std,name,dataset,encoder,model,attack_mode
0.9411323594236439,0.013009975676334178,0.846611064961834,0.02163137338949207,0.8859716041534224,0.015473282969484551,0.08519238151791644,0.005286070448782864,0.05659650728284908,0.012670401325976162,vanilla_bail_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.013388479218106385,bail,gat,vanilla_dp_eo,uncertainty
0.864413457800308,0.01278797781708658,0.7458485837872697,0.027297361179091553,0.7925619834710743,0.03140971269324334,0.10864340135095889,0.012181593162954203,0.06971021124075347,0.006380254322627445,vanilla_bail_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.042271562098662695,bail,gcn,vanilla_dp_eo,uncertainty
0.8613843296660576,0.009469655116668887,0.7543862245522746,0.019772012046939662,0.8022886204704387,0.025916083219526802,0.09291287566174843,0.01906298061405265,0.060562037672538704,0.014797014490689953,vanilla_bail_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0017982076327360563,bail,gin,vanilla_dp_eo,uncertainty
0.916527106234675,0.006653266245204088,0.8281414423349254,0.017055357756221343,0.8745073108709474,0.022055432280957417,0.0253967075769296,0.022407379976909232,0.01151605277205826,0.006079849821687679,vanilla_bail_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0467922374210601,bail,sage,vanilla_dp_eo,uncertainty
0.9106852073786325,0.0018303032729357468,0.8230901162691662,0.005434713636554543,0.8651409196863742,0.006319162413855036,0.07080630864435392,0.004650878633425901,0.045618851521391,0.004155682719317296,vanilla_bail_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.02836121890949454,bail,sgc,vanilla_dp_eo,uncertainty
0.48842285714285716,0.0373781827788057,0.5764705882352941,0.3773885866434221,0.58,0.1833030277982336,0.0,0.0,0.0,0.0,vanilla_german_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0006701202831765846,german,gat,vanilla_dp_eo,uncertainty
0.6151314285714286,0.013513587552018778,0.49553083509445284,0.3042265646195661,0.5192,0.15529893753661034,0.03119203491543916,0.0487113751308514,0.03655462184873949,0.04706960785793145,vanilla_german_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.006111067593831892,german,gcn,vanilla_dp_eo,uncertainty
0.6230171428571428,0.05441088806604848,0.5285675021183148,0.2594761986678897,0.5388,0.13726529058724202,0.10601472995090015,0.10235144714367525,0.11775210084033613,0.10260454519525414,vanilla_german_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.004150624347498155,german,gin,vanilla_dp_eo,uncertainty
0.6415923809523809,0.06067627415889171,0.483618410780421,0.31753950762276434,0.5267999999999999,0.16556376415145918,0.13330605564648118,0.14299043324153662,0.1350840336134454,0.15034459511823312,vanilla_german_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.044752276059112965,german,sage,vanilla_dp_eo,uncertainty
0.6361676190476191,0.026654082472890625,0.5676183790481235,0.2234714126460752,0.5528,0.11916778088057192,0.040657392253136936,0.025202755954380412,0.03571428571428573,0.018482619704136758,vanilla_german_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.038564040532636776,german,sgc,vanilla_dp_eo,uncertainty
