dataset,encoder,model,attack_mode,AUC_mean,AUC_std,ACC_mean,ACC_std,F1_mean,F1_std,DP_mean,DP_std,EO_mean,EO_std
bail,gat,edge_adder,none,0.9120515488730321,0.009109049363654396,0.8769866497139225,0.011720806792014198,0.8218409453103762,0.018959216810474487,0.06748250554272714,0.0037357269021711117,0.05658659345687485,0.008085703092347112
bail,gat,edge_adder,degree,0.9185906663544279,0.011270279929396205,0.8734265734265735,0.01766211601147876,0.8264029272377401,0.0195360997817677,0.07125644854249999,0.006653903447496078,0.04817661862274075,0.011938647755351467
bail,gat,edge_adder,ratio,1.0071696797066743,1.2372619226727695,0.9959405581732512,1.5069027520795402,1.0055509304487635,1.0304275739372577,1.0559247610832017,1.7811536072481622,0.8513786690385698,1.4765132504866594
bail,gcn,edge_adder,none,0.9097743768233064,0.005377929223931627,0.8556473829201101,0.0476324600451498,0.8181029148905058,0.03872872955279434,0.04223142934784173,0.004241844442453293,0.02662167314878363,0.0036416771885972366
bail,gcn,edge_adder,degree,0.9083823119755842,0.005397994277280886,0.8463445645263826,0.07578164957138211,0.8115966991635795,0.05415081379300756,0.04106911011551302,0.009897766035217475,0.02615724853199116,0.009637723501043055
bail,gcn,edge_adder,ratio,0.9984698790346427,1.0037309998911794,0.9891277428302541,1.5909665278583196,0.9920471916081645,1.398207852885804,0.9724773882798237,2.3333637452987435,0.9825546420693814,2.6465068159310072
bail,gin,edge_adder,none,0.8590444802600766,0.01189545563695065,0.7832803560076287,0.03441827869472036,0.7398315609168932,0.029301302903547887,0.12374030561921825,0.017147840530769804,0.07688553344009763,0.011736108783562436
bail,gin,edge_adder,degree,0.8550376255460354,0.01333762092659253,0.7859927950837042,0.03685814352123083,0.7411631523368918,0.03010928440914408,0.10307055223103756,0.013007844689617737,0.0709380004575612,0.018808924407696458
bail,gin,edge_adder,ratio,0.9953356842327556,1.1212366582379667,1.0034629223818414,1.0708886358946457,1.001799857549127,1.0275749344067004,0.8329586040316806,0.7585704256041262,0.9226443166038483,1.6026542318728496
bail,sage,edge_adder,none,0.9172816164788641,0.006754908888169809,0.8584233947870311,0.03025638176039873,0.8157718509597383,0.02453305930966981,0.01928768407461619,0.016618763850468992,0.01693739037596278,0.012354981787395216
bail,sage,edge_adder,degree,0.9191690543754764,0.007447605933148639,0.8801229073956346,0.008858239763374114,0.8332080586666031,0.006726562126760239,0.01731811084304089,0.011747433669630799,0.017249294593151842,0.008525346301491763
bail,sage,edge_adder,ratio,1.0020576427813495,1.1025472077339167,1.025278333209904,0.29277260690067974,1.0213738776182968,0.27418358394906484,0.8978844103856211,0.7068777061477577,1.0184151283205771,0.6900330933866273
bail,sgc,edge_adder,none,0.8943537382948697,0.006758530522078516,0.8476584022038567,0.006793304598871794,0.797473336738927,0.0077874970141444365,0.03772174503167476,0.0027512472785609396,0.024688477083809956,0.002251882996658713
bail,sgc,edge_adder,degree,0.8954829638507009,0.004747404941721518,0.8404322949777494,0.022343120383854363,0.7926687135391531,0.017112354012432874,0.03167880650921774,0.004574590539569186,0.023533897658811864,0.0037171633968748744
bail,sgc,edge_adder,ratio,1.001262616241739,0.7024315309685844,0.9914752131196719,3.2889913971419773,0.9939751926761324,2.1974138778289984,0.8398022541803728,1.6627333265230742,0.9532340767282388,1.6506911781785762
german,gat,edge_adder,none,0.5552571428571429,0.038867962079204454,0.6192,0.07148258529180374,0.7179980393951194,0.08952986536995097,0.07060829241680307,0.06856546654557052,0.0707983193277311,0.07618580965895354
german,gat,edge_adder,degree,0.521512380952381,0.039064908785413764,0.4612000000000001,0.07994097822768996,0.47683291482010953,0.1510694570006804,0.10370976541189307,0.10911860991856905,0.13109243697478992,0.12169542658587153
german,gat,edge_adder,ratio,0.93922678467291,1.005067070555641,0.7448320413436694,1.1183280221519363,0.6641145081981276,1.687363835256967,1.4688043268302102,1.5914514319835593,1.8516320474777446,1.5973503088126542
german,gcn,edge_adder,none,0.7172876190476191,0.0061493030779651,0.6588,0.04633961588101481,0.7304476587040517,0.06386662457810167,0.09481723949809055,0.027622062387412934,0.04138655462184875,0.02162029081187201
german,gcn,edge_adder,degree,0.7185066666666666,0.008275506355636305,0.6344000000000001,0.0832192285472534,0.6925130109252129,0.11724791431238694,0.09405346426623021,0.041048622931735126,0.04107142857142857,0.02842915174641252
german,gcn,edge_adder,ratio,1.0016995241332427,1.3457632923135738,0.962962962962963,1.7958549497029397,0.948066576260725,1.8358245028122,0.9919447640966628,1.4860810303013625,0.9923857868020302,1.3149292020994308
german,gin,edge_adder,none,0.640007619047619,0.032694956180383365,0.5660000000000001,0.1371626771392276,0.5827186876766317,0.25935635696067455,0.10651936715766504,0.0938231295864671,0.09579831932773109,0.08777239521655257
german,gin,edge_adder,degree,0.6599009523809525,0.021837758890936733,0.6432,0.10708949528315091,0.7090121337543632,0.1904436975624,0.15506001091107474,0.09917931088927429,0.12237394957983194,0.10330416408729208
german,gin,edge_adder,ratio,1.031082963298056,0.6679243969759214,1.1363957597173144,0.7807480687654501,1.2167314156017175,0.7342935403402371,1.455697823303457,1.0570880690765163,1.2774122807017545,1.176955053264975
german,sage,edge_adder,none,0.6357942857142856,0.07068306563668879,0.5319999999999999,0.16435084423269627,0.4968003273122868,0.307187466969843,0.09037097654118931,0.08182181228386001,0.07352941176470588,0.08535851565710331
german,sage,edge_adder,degree,0.6035047619047618,0.07970277666248365,0.5284,0.18095259047606915,0.4892229740227668,0.3352109710389796,0.04589470812875067,0.05041892299513833,0.038550420168067215,0.03193709197905794
german,sage,edge_adder,ratio,0.9492138816987824,1.1276078073941531,0.993233082706767,1.1010140612351664,0.9847476886126186,1.091226065781804,0.5078478720193177,0.6162039386297468,0.5242857142857141,0.3741523822573667
german,sgc,edge_adder,none,0.6643809523809524,0.04431129624663093,0.6584,0.05255701665810188,0.7497068669959254,0.07829019276766191,0.1271276595744681,0.08061722836161861,0.08203781512605043,0.06604871287912577
german,sgc,edge_adder,degree,0.6651657142857144,0.01972082854390379,0.6159999999999999,0.07677499592966448,0.6869785453255731,0.11953409508298057,0.12752318603382434,0.08652080662460632,0.07983193277310925,0.05645947332091044
german,sgc,edge_adder,ratio,1.0011811926605505,0.44505194418462085,0.9356014580801942,1.460794405989734,0.9163295356734499,1.5268080312142829,1.0031112541572793,1.073229734921008,0.9731113956466069,0.8548156483266468
nba,gat,edge_adder,none,0.6184615384615385,0.05279950416159904,0.579746835443038,0.04661253832790371,0.5861845714247664,0.0507445062954172,0.0962519936204147,0.07391879950099021,0.1933333333333333,0.11333333333333331
nba,gat,edge_adder,degree,0.621474358974359,0.03820991408674932,0.5886075949367089,0.038498497027203926,0.618713930487442,0.04252935227171472,0.11427432216905901,0.06557919126864686,0.13,0.07520342781785652
nba,gat,edge_adder,ratio,1.0048714759535655,0.7236794112649889,1.01528384279476,0.8259257789477114,1.0554933729893479,0.8381075189523639,1.1872410936205464,0.8871787922877233,0.6724137931034484,0.6635596572163812
nba,gcn,edge_adder,none,0.678397435897436,0.008533349127820658,0.591139240506329,0.015030812768402438,0.5750650474255379,0.024086877144456505,0.3053429027113238,0.024960127591706537,0.32333333333333336,0.0334995854037363
nba,gcn,edge_adder,degree,0.6809615384615386,0.02180815959944938,0.6113924050632911,0.025972512061624292,0.619540798391445,0.0335726858230243,0.4290271132376396,0.1097260857924147,0.39,0.08698658900466591
nba,gcn,edge_adder,ratio,1.0037796466030429,2.555638972786174,1.0342612419700214,1.727951273281997,1.0773403829097543,1.3938164595467666,1.4050665970227212,4.396054683184921,1.2061855670103092,2.5966467332746173
nba,gin,edge_adder,none,0.6032051282051282,0.0309197706273446,0.5569620253164558,0.03300861977317796,0.5438602208500252,0.16264576882269155,0.06658692185007978,0.0432438280848824,0.15666666666666668,0.11259563836036357
nba,gin,edge_adder,degree,0.6005128205128205,0.02437718617448837,0.5670886075949367,0.03831074924157355,0.49980676953413045,0.16093004409383807,0.07288676236044658,0.054872546783412336,0.12999999999999998,0.09826268648655782
nba,gin,edge_adder,ratio,0.9955366631243359,0.7884012617134312,1.018181818181818,1.160628632909516,0.9189985778937069,0.9894511566991707,1.0946107784431134,1.2689104830336522,0.829787234042553,0.8727041998915359
nba,sage,edge_adder,none,0.6308333333333331,0.023663225157447808,0.5620253164556963,0.018079565641880634,0.5495920206105425,0.03249964873564264,0.0708133971291866,0.0379132723075798,0.09333333333333331,0.06463573143221771
nba,sage,edge_adder,degree,0.6392948717948718,0.01844561724446373,0.569620253164557,0.027732787721780554,0.561819062965746,0.04553641479386105,0.058532695374800645,0.03944781908381487,0.09999999999999998,0.061463629715285906
nba,sage,edge_adder,ratio,1.013413271009044,0.7795056304342404,1.0135135135135134,1.5339299776947402,1.022247488858409,1.4011355988571308,0.8265765765765767,1.0404751867310666,1.0714285714285714,0.9509234034079381
nba,sgc,edge_adder,none,0.683076923076923,0.004358974358974344,0.5936708860759493,0.014376983153924753,0.5977369526380683,0.03872956789759502,0.24425837320574165,0.04706167224053707,0.13000000000000003,0.048189440982669855
