method,dataset,encoder,model,timestamp,n_seeds,AUC_mean,AUC_std,F1_mean,F1_std,ACC_mean,ACC_std,DP_mean,DP_std,EO_mean,EO_std,name
edge_adder,nba,gat,edge_adder,20260205-135542,10,0.7262820512820513,0.060907556513947185,0.6744862338711245,0.1155326313090584,0.6835443037974683,0.06070672814319897,0.20047846889952153,0.1442844455091604,0.22000000000000003,0.15362291495737215,edge_adder_nba_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0005266946880424559
edge_adder,nba,gcn,edge_adder,20260205-171142,10,0.7566666666666666,0.01097334047514392,0.726258976787683,0.023969867437952343,0.6924050632911394,0.02267907957869484,0.2823763955342903,0.06646380044895653,0.12999999999999998,0.06574360974438676,edge_adder_nba_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0007437733361427296
edge_adder,nba,gin,edge_adder,20260205-170419,10,0.6105769230769231,0.005925587768403378,0.472373425799738,0.09194478190864916,0.5822784810126581,0.024675428721035342,0.06618819776714513,0.028803227230259732,0.08666666666666664,0.07630348761506396,edge_adder_nba_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.009659285727342239
edge_adder,nba,sage,edge_adder,20260205-170027,10,0.6228846153846154,0.020817153480410258,0.552712957962958,0.0587259342535809,0.581012658227848,0.023647521129454927,0.1003189792663477,0.08658157353833384,0.09999999999999999,0.09545214042184236,edge_adder_nba_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0007733112465626232
edge_adder,nba,sgc,edge_adder,20260205-170833,10,0.7367307692307693,0.010665133334071852,0.6575224593470208,0.01908969036420378,0.6670886075949367,0.011392405063291148,0.37320574162679426,0.061818436935231695,0.26333333333333336,0.08749603165604457,edge_adder_nba_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0005110759834334629
edge_adder,pokec_n,gat,edge_adder,20260205-132019,10,0.6156644789318824,0.0283520786874753,0.612533691392163,0.031157182372057265,0.6269545454545454,0.020419211906340405,0.26701974374130966,0.10507341185516829,0.2369818913480885,0.08663496708582953,edge_adder_pokec_n_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0014220908710879659
edge_adder,pokec_n,gcn,edge_adder,20260205-150454,10,0.7650707124866369,0.002916976831221541,0.6751246720246822,0.012485128556620798,0.6907727272727272,0.01594936460818921,0.07515218919925928,0.02602884116970482,0.07361993744646093,0.03845224814667345,edge_adder_pokec_n_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.000696915699118028
edge_adder,pokec_n,gin,edge_adder,20260205-150655,10,0.6862488788272947,0.020011851005810436,0.6196641694594651,0.015370021169037296,0.6627272727272727,0.007012385736609787,0.2843349012159261,0.1047357376925221,0.2471075960714783,0.08848705771055022,edge_adder_pokec_n_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.00018232571507056315
edge_adder,pokec_n,sage,edge_adder,20260205-144655,10,0.7483337139528494,0.004541769112028807,0.670550675236471,0.006871061141614649,0.6644090909090908,0.008413512351131646,0.03546468248743313,0.01654282825236601,0.019723489451560848,0.014919542574894895,edge_adder_pokec_n_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.00032500959921404646
edge_adder,pokec_n,sgc,edge_adder,20260205-150902,10,0.7542877615931739,0.0015593911013601885,0.6765675846685089,0.004689635331886105,0.6965454545454546,0.020072389654604665,0.06590354954051424,0.03785545499456992,0.05826443811383153,0.023666505834403648,edge_adder_pokec_n_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0020289278881684258
edge_adder,pokec_z,gat,edge_adder,20260205-124958,10,0.6646170826654455,0.01617825482992072,0.6826718618479686,0.019887577658533266,0.6489867498051441,0.0108197448174559,0.16949696278401602,0.07863615908262589,0.14657142857142857,0.07670595857971305,edge_adder_pokec_z_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0010929204433570861
edge_adder,pokec_z,gcn,edge_adder,20260205-132744,10,0.780407419280971,0.002127719722041439,0.7031823507340528,0.016064324527975276,0.707755261106781,0.006015839716737832,0.09565199261813936,0.013855040908935924,0.08234285714285716,0.013814396513073176,edge_adder_pokec_z_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.001158493945903404
edge_adder,pokec_z,gin,edge_adder,20260205-132300,10,0.7051103274559194,0.01290146058535055,0.6442489834992202,0.015293431055281683,0.6537022603273577,0.010053049002267327,0.17013722620668137,0.037469796877750206,0.1742285714285714,0.03812135295369785,edge_adder_pokec_z_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.00017298223341566927
edge_adder,pokec_z,sage,edge_adder,20260205-132309,10,0.778676864361499,0.00509031579724366,0.7179848870615138,0.004794161157540361,0.7107560405300077,0.004953478361788215,0.17773214929436515,0.025063844757866705,0.1491714285714286,0.022422820008706698,edge_adder_pokec_z_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.00012450384838169962
edge_adder,pokec_z,sgc,edge_adder,20260205-132128,10,0.7675069078696283,0.0034667419506663323,0.6885210103100102,0.021659246328953247,0.6984801247077164,0.014754638143805517,0.0523162470878775,0.015763249310241867,0.046371428571428584,0.015203141458398706,edge_adder_pokec_z_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0034471148456421234
vanilla,bail,gat,vanilla,20260205-123913,10,0.930049143179877,0.018283253557457007,0.8429593343188048,0.022798791882113905,0.8832167832167833,0.015966617166107113,0.07257564995844752,0.009874211782324603,0.04910241744833368,0.009780718798958397,vanilla_bail_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.036252634794284574
vanilla,bail,gcn,vanilla,20260205-124603,10,0.883493164418241,0.005971742622538495,0.7750857537988014,0.006801685170117523,0.8246450519177791,0.006069083912532175,0.08755449270027865,0.005261249356109511,0.04296575917028902,0.0073389350663050695,vanilla_bail_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.015423598487653298
vanilla,bail,gin,vanilla,20260205-124413,10,0.8329648264472423,0.014767989698400132,0.7027918338283454,0.026902939794182602,0.7433778342869253,0.04725035770223037,0.10275193528165105,0.03228979194061821,0.06434225577671016,0.02360150798320445,vanilla_bail_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.03662988795488364
vanilla,bail,sage,vanilla,20260205-124517,10,0.9130212398943286,0.004832940536204098,0.8068510112171985,0.028082586784010814,0.851472769654588,0.03612434610862696,0.04422887796798302,0.02516740126433764,0.017606954930221918,0.009049607916666315,vanilla_bail_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.033946860725703534
vanilla,bail,sgc,vanilla,20260205-124652,10,0.9009962753273151,0.004373954103372516,0.8022853700251202,0.016830411654185456,0.846683619410892,0.020193133122355166,0.04618037083792233,0.00426752708758745,0.027048730267673328,0.005498115489718873,vanilla_bail_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.038482961843717946
vanilla,german,gat,vanilla,20260205-134822,10,0.5037828571428571,0.05266190985148894,0.43701818311339063,0.3864095622494379,0.504,0.19090521208180775,0.022831423895253677,0.062016983363696786,0.02804621848739496,0.07153361344537815,vanilla_german_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0040875779010632
vanilla,german,gcn,vanilla,20260205-165238,10,0.5560457142857143,0.01845060417866641,0.49415512393102556,0.2783024149356885,0.496,0.11482160075525857,0.0696672122204037,0.05117634286222175,0.060504201680672276,0.04958650788268639,vanilla_german_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.014400076721566254
vanilla,german,gin,vanilla,20260205-164639,10,0.7075657142857142,0.013891377250105993,0.7453873730553233,0.06561528598497704,0.6688,0.05374904650317063,0.13689307146753957,0.07191621429232374,0.1010504201680672,0.0630213584257242,vanilla_german_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0016102038883533546
vanilla,german,sage,vanilla,20260205-163901,10,0.6737066666666667,0.07291388923612166,0.6107053070986492,0.19024478111342874,0.586,0.10717089157042596,0.1994271685761048,0.13598346588135204,0.20336134453781513,0.1326104604233221,vanilla_german_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.008248896555909517
vanilla,german,sgc,vanilla,20260205-164743,10,0.6005561904761905,0.019370821360525887,0.6871075977224897,0.005983179556137122,0.588,0.007375635565834316,0.11046099290780145,0.04070277178622927,0.10745798319327729,0.04531695706573756,vanilla_german_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.03558271965216747
vanilla,nba,gat,vanilla,20260205-135812,10,0.6688461538461539,0.05088564741089611,0.6465093868916828,0.06697950395734144,0.6379746835443039,0.053465093878336395,0.23540669856459334,0.1130014158946709,0.23000000000000004,0.10159833769418782,vanilla_nba_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0006118713031011232
