dataset,encoder,model,attack_mode,AUC_mean,AUC_std,ACC_mean,ACC_std,F1_mean,F1_std,DP_mean,DP_std,EO_mean,EO_std
bail,gat,fairinv,none,0.940794387659831,0.0107254108918632,0.9077558804831533,0.0086463410214338,0.8723540343634417,0.0124989638260587,0.0718628955034176,0.0042005630165043,0.0506954930221917,0.006182395208207
bail,gat,fairinv,degree,0.94527170519143,0.004450824445057281,0.9071837253655435,0.004789337770380722,0.8730242427022963,0.006609386156424948,0.07832808056292828,0.005598271723261802,0.050841912605811015,0.008953625880470198
bail,gat,fairinv,ratio,1.0582976463100837,0.4814621353405635,1.0603883879916773,0.39994613460999195,1.0845125229441586,0.5801333916579026,1.0923039675422561,0.7033829418600158,1.2713144295493986,0.825950312377078
bail,gcn,fairinv,none,0.8932002338730168,0.0092443914450489,0.8555202373384191,0.0119749570152767,0.8049923115062528,0.0113928731761788,0.0717090506767734,0.0079590666621198,0.0399916113780218,0.0108403928738785
bail,gcn,fairinv,degree,0.8961533398842269,0.01961188546002439,0.8573214664123755,0.014755964644987553,0.8086775100985222,0.019580342461381676,0.07075851969645122,0.01356133329068246,0.038353542286280795,0.01136446786609503
bail,gcn,fairinv,ratio,0.9525496236359933,1.8285439744693497,0.9444405537269183,1.706613769733155,0.9270060987207053,1.5665572549749467,0.9846321832813729,3.228456099194097,0.7565473772883858,1.83819821984349
bail,gin,fairinv,none,0.8648116962528277,0.0075079338352964,0.8431235431235432,0.0193067982910615,0.784082650414357,0.0145268299229615,0.0842256752637648,0.0098591275124066,0.0734507740410279,0.0164831609276278
bail,gin,fairinv,degree,0.8629912500420911,0.009169266917115278,0.845666454757364,0.015055719762791079,0.7868283652601884,0.01580094184786053,0.08188496936043685,0.013709477596249109,0.0699908487760238,0.016793497686785588
bail,gin,fairinv,ratio,0.9978949796601683,1.2212770008718772,1.0030160605222813,0.7798144226617548,1.0035018181366218,1.0877074992724418,0.9722091168043747,1.3905365945411778,0.9528946384816657,1.018827502838829
bail,sage,fairinv,none,0.926911391513838,0.0081662996400649,0.8913541004450096,0.0051803481834547,0.8466320584885624,0.0061038083687887,0.0236890120286525,0.0120385316700609,0.0146808510638297,0.0116428090413767
bail,sage,fairinv,degree,0.9226402625867456,0.008421043767244235,0.8888959525323162,0.009930409992099681,0.8411001657939012,0.01307790863098414,0.02443974243212856,0.008276782006150507,0.00917715244413938,0.008241043028165175
bail,sage,fairinv,ratio,0.9953920849757637,1.0311945603770805,0.9972422318902598,1.9169387153967774,0.9934660013884463,2.142581785145304,1.0316910811885287,0.6875242125029553,0.6251103838761645,0.7078225709000133
bail,sgc,fairinv,none,0.9049229275146706,0.0090573698938869,0.8815638906547998,0.0084654782719166,0.8342799027222144,0.0092525581226602,0.0493064761483006,0.0070628439677499,0.0339937466636162,0.0090106531126785
bail,sgc,fairinv,degree,0.9062125963884373,0.010821413675584115,0.8814579360033905,0.016350886651994072,0.8353659562974837,0.01987932716031742,0.04709749089152358,0.010402336679040568,0.02668801952261114,0.011612132986267041
bail,sgc,fairinv,ratio,1.0014251698509935,1.1947633587193809,0.9998798105814763,1.9314781902206926,1.0013017856138275,2.1485222677641413,0.9551988819859487,1.4728254972840031,0.7850861450107691,1.2887115774025426
german,gat,fairinv,none,0.4967847619047618,0.0571444855640987,0.7,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.0
german,gat,fairinv,degree,0.49475428571428576,0.0462090528771198,0.6584000000000001,0.11950832606977639,0.739272303571214,0.24645279172513618,0.011470267321331152,0.02296000754401976,0.007457983193277307,0.015441176470588226
german,gat,fairinv,ratio,0.7639600069424536,0.42323984768377504,1.0934272215390592,1.5790633155884044,1.1456831300273793,1.7451195051920887,0.4547079215113597,0.9206124276056323,0.3541783063293168,0.6911255477470979
