method,dataset,encoder,model,timestamp,n_seeds,auc_mean,auc_std,f1_mean,f1_std,acc_mean,acc_std,dp_mean,dp_std,eo_mean,eo_std,name
edge_adder,nba,gat,edge_adder,20260205-135542,10,0.7262820512820513,0.0609075565139471,0.6744862338711245,0.1155326313090584,0.6835443037974683,0.0607067281431989,0.2004784688995215,0.1442844455091604,0.22,0.1536229149573721,edge_adder_nba_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0005266946880424559
edge_adder,nba,gcn,edge_adder,20260205-171142,10,0.7566666666666666,0.0109733404751439,0.726258976787683,0.0239698674379523,0.6924050632911394,0.0226790795786948,0.2823763955342903,0.0664638004489565,0.1299999999999999,0.0657436097443867,edge_adder_nba_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0007437733361427296
edge_adder,nba,gin,edge_adder,20260205-170419,10,0.6105769230769231,0.0059255877684033,0.472373425799738,0.0919447819086491,0.5822784810126581,0.0246754287210353,0.0661881977671451,0.0288032272302597,0.0866666666666666,0.0763034876150639,edge_adder_nba_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.009659285727342239
edge_adder,nba,sage,edge_adder,20260205-170027,10,0.6228846153846154,0.0208171534804102,0.552712957962958,0.0587259342535809,0.581012658227848,0.0236475211294549,0.1003189792663477,0.0865815735383338,0.0999999999999999,0.0954521404218423,edge_adder_nba_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0007733112465626232
edge_adder,nba,sgc,edge_adder,20260205-170833,10,0.7367307692307693,0.0106651333340718,0.6575224593470208,0.0190896903642037,0.6670886075949367,0.0113924050632911,0.3732057416267942,0.0618184369352316,0.2633333333333333,0.0874960316560445,edge_adder_nba_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0005110759834334629
edge_adder,pokec_n,gat,edge_adder,20260205-132019,10,0.6156644789318824,0.0283520786874753,0.612533691392163,0.0311571823720572,0.6269545454545454,0.0204192119063404,0.2670197437413096,0.1050734118551682,0.2369818913480885,0.0866349670858295,edge_adder_pokec_n_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0014220908710879659
edge_adder,pokec_n,gcn,edge_adder,20260205-150454,10,0.7650707124866369,0.0029169768312215,0.6751246720246822,0.0124851285566207,0.6907727272727272,0.0159493646081892,0.0751521891992592,0.0260288411697048,0.0736199374464609,0.0384522481466734,edge_adder_pokec_n_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.000696915699118028
edge_adder,pokec_n,gin,edge_adder,20260205-150655,10,0.6862488788272947,0.0200118510058104,0.6196641694594651,0.0153700211690372,0.6627272727272727,0.0070123857366097,0.2843349012159261,0.1047357376925221,0.2471075960714783,0.0884870577105502,edge_adder_pokec_n_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.00018232571507056315
edge_adder,pokec_n,sage,edge_adder,20260205-144655,10,0.7483337139528494,0.0045417691120288,0.670550675236471,0.0068710611416146,0.6644090909090908,0.0084135123511316,0.0354646824874331,0.016542828252366,0.0197234894515608,0.0149195425748948,edge_adder_pokec_n_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.00032500959921404646
edge_adder,pokec_n,sgc,edge_adder,20260205-150902,10,0.7542877615931739,0.0015593911013601,0.6765675846685089,0.0046896353318861,0.6965454545454546,0.0200723896546046,0.0659035495405142,0.0378554549945699,0.0582644381138315,0.0236665058344036,edge_adder_pokec_n_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0020289278881684258
edge_adder,pokec_z,gat,edge_adder,20260205-124958,10,0.6646170826654455,0.0161782548299207,0.6826718618479686,0.0198875776585332,0.6489867498051441,0.0108197448174559,0.169496962784016,0.0786361590826258,0.1465714285714285,0.076705958579713,edge_adder_pokec_z_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0010929204433570861
edge_adder,pokec_z,gcn,edge_adder,20260205-132744,10,0.780407419280971,0.0021277197220414,0.7031823507340528,0.0160643245279752,0.707755261106781,0.0060158397167378,0.0956519926181393,0.0138550409089359,0.0823428571428571,0.0138143965130731,edge_adder_pokec_z_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.001158493945903404
edge_adder,pokec_z,gin,edge_adder,20260205-132300,10,0.7051103274559194,0.0129014605853505,0.6442489834992202,0.0152934310552816,0.6537022603273577,0.0100530490022673,0.1701372262066813,0.0374697968777502,0.1742285714285714,0.0381213529536978,edge_adder_pokec_z_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.00017298223341566927
edge_adder,pokec_z,sage,edge_adder,20260205-132309,10,0.778676864361499,0.0050903157972436,0.7179848870615138,0.0047941611575403,0.7107560405300077,0.0049534783617882,0.1777321492943651,0.0250638447578667,0.1491714285714286,0.0224228200087066,edge_adder_pokec_z_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.00012450384838169962
edge_adder,pokec_z,sgc,edge_adder,20260205-132128,10,0.7675069078696283,0.0034667419506663,0.6885210103100102,0.0216592463289532,0.6984801247077164,0.0147546381438055,0.0523162470878775,0.0157632493102418,0.0463714285714285,0.0152031414583987,edge_adder_pokec_z_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0034471148456421234
vanilla,bail,gat,vanilla,20260205-123913,10,0.930049143179877,0.018283253557457,0.8429593343188048,0.0227987918821139,0.8832167832167833,0.0159666171661071,0.0725756499584475,0.0098742117823246,0.0491024174483336,0.0097807187989583,vanilla_bail_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.036252634794284574
vanilla,bail,gcn,vanilla,20260205-124603,10,0.883493164418241,0.0059717426225384,0.7750857537988014,0.0068016851701175,0.8246450519177791,0.0060690839125321,0.0875544927002786,0.0052612493561095,0.042965759170289,0.007338935066305,vanilla_bail_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.015423598487653298
vanilla,bail,gin,vanilla,20260205-124413,10,0.8329648264472423,0.0147679896984001,0.7027918338283454,0.0269029397941826,0.7433778342869253,0.0472503577022303,0.102751935281651,0.0322897919406182,0.0643422557767101,0.0236015079832044,vanilla_bail_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.03662988795488364
vanilla,bail,sage,vanilla,20260205-124517,10,0.9130212398943286,0.004832940536204,0.8068510112171985,0.0280825867840108,0.851472769654588,0.0361243461086269,0.044228877967983,0.0251674012643376,0.0176069549302219,0.0090496079166663,vanilla_bail_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.033946860725703534
vanilla,bail,sgc,vanilla,20260205-124652,10,0.9009962753273152,0.0043739541033725,0.8022853700251202,0.0168304116541854,0.846683619410892,0.0201931331223551,0.0461803708379223,0.0042675270875874,0.0270487302676733,0.0054981154897188,vanilla_bail_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.038482961843717946
vanilla,german,gat,vanilla,20260205-134822,10,0.5037828571428571,0.0526619098514889,0.4370181831133906,0.3864095622494379,0.504,0.1909052120818077,0.0228314238952536,0.0620169833636967,0.0280462184873949,0.0715336134453781,vanilla_german_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0040875779010632
vanilla,german,gcn,vanilla,20260205-165238,10,0.5560457142857143,0.0184506041786664,0.4941551239310255,0.2783024149356885,0.496,0.1148216007552585,0.0696672122204037,0.0511763428622217,0.0605042016806722,0.0495865078826863,vanilla_german_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.014400076721566254
vanilla,german,gin,vanilla,20260205-164639,10,0.7075657142857142,0.0138913772501059,0.7453873730553233,0.065615285984977,0.6688,0.0537490465031706,0.1368930714675395,0.0719162142923237,0.1010504201680672,0.0630213584257242,vanilla_german_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0016102038883533546
vanilla,german,sage,vanilla,20260205-163901,10,0.6737066666666667,0.0729138892361216,0.6107053070986492,0.1902447811134287,0.586,0.1071708915704259,0.1994271685761048,0.135983465881352,0.2033613445378151,0.1326104604233221,vanilla_german_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.008248896555909517
vanilla,german,sgc,vanilla,20260205-164743,10,0.6005561904761905,0.0193708213605258,0.6871075977224897,0.0059831795561371,0.588,0.0073756355658343,0.1104609929078014,0.0407027717862292,0.1074579831932772,0.0453169570657375,vanilla_german_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.03558271965216747
vanilla,nba,gat,vanilla,20260205-135812,10,0.6688461538461539,0.0508856474108961,0.6465093868916828,0.0669795039573414,0.6379746835443039,0.0534650938783363,0.2354066985645933,0.1130014158946709,0.23,0.1015983376941878,vanilla_nba_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0006118713031011232
vanilla,nba,gcn,vanilla,20260205-171938,10,0.7158974358974358,0.0190089774285647,0.696535868080185,0.0359901543671324,0.6810126582278482,0.0264311557187609,0.5111642743221692,0.0613216380813815,0.3366666666666667,0.1015983376941878,vanilla_nba_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0005602617956493825
vanilla,nba,gin,vanilla,20260205-171101,10,0.6067307692307693,0.061077500320207,0.5523898722791266,0.2012961193704024,0.5291139240506328,0.0496099188411782,0.1124401913875598,0.084783404907933,0.0733333333333333,0.0489897948556635,vanilla_nba_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0381397720513228
vanilla,nba,sage,vanilla,20260205-170704,10,0.6527564102564102,0.0182867662133148,0.5647903304343407,0.0682197940378045,0.5860759493670886,0.0388300294941214,0.0943381180223285,0.0804941271342328,0.0866666666666666,0.0748331477354788,vanilla_nba_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0006778779553232976
vanilla,nba,sgc,vanilla,20260205-171504,10,0.7345512820512822,0.0131978135080709,0.6533159812316833,0.0273778161932388,0.6670886075949367,0.0150308127684024,0.4754385964912281,0.0419002670053985,0.41,0.0966666666666666,vanilla_nba_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.005422777365223869
vanilla,pokec_n,gat,vanilla,20260205-133152,10,0.6978147061451849,0.0373657324236492,0.6366607646826397,0.0340491923230331,0.6526363636363637,0.0210997238632982,0.2960558274526063,0.207131386732,0.2673187640695659,0.1746400900473194,vanilla_pokec_n_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.005893711998150697
vanilla,pokec_n,gcn,vanilla,20260205-153104,10,0.7411209741211826,0.0094770191609279,0.6564861575843743,0.0084644386087855,0.6857272727272727,0.0081367445314602,0.2212697887980905,0.1026534269977052,0.2097292666892443,0.0852431496304142,vanilla_pokec_n_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.012987273520401443
vanilla,pokec_n,gin,vanilla,20260205-152306,10,0.6296005729151152,0.0316601318527073,0.579014837435815,0.0612710925579118,0.6005454545454545,0.0416085655517313,0.3530826775587348,0.1074781416727684,0.3449588620833914,0.1185125652992212,vanilla_pokec_n_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.026249028382697385
vanilla,pokec_n,sage,vanilla,20260205-150951,10,0.6821730643842734,0.0133355177133086,0.6557444727317503,0.0158009427915948,0.6298636363636364,0.0173777310714052,0.2878119773530145,0.1518575556338662,0.2466760961810467,0.1279832612849075,vanilla_pokec_n_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.002106183402786513
vanilla,pokec_n,sgc,vanilla,20260205-153633,10,0.7251536544438156,0.0099355926397591,0.6560565305676664,0.0123664331731237,0.6675909090909091,0.0166825612913506,0.3012139650807613,0.0400727968393452,0.2867306811164014,0.0477175612349621,vanilla_pokec_n_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.010611927763057845
vanilla,pokec_z,gat,vanilla,20260205-130151,10,0.7057475307228456,0.0204620087763824,0.6665681144970745,0.0355632868755902,0.6615744349181606,0.0110985050733141,0.4060459160340254,0.1032519942464413,0.3336571428571429,0.0974941379713442,vanilla_pokec_z_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0038518302623594828
vanilla,pokec_z,gcn,vanilla,20260205-135318,10,0.755811983818029,0.0049457693182004,0.6813599752763912,0.0264361139585578,0.6696414653156664,0.0311316165257775,0.313740510381414,0.0682232756614694,0.2624857142857143,0.0696518514338511,vanilla_pokec_z_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.011782659818013594
vanilla,pokec_z,gin,vanilla,20260205-134451,10,0.6632395084344707,0.0149758073162556,0.5898571937892116,0.0445300567461772,0.6247466874512859,0.0140593021900683,0.3902316785124367,0.0358688453614731,0.3807999999999999,0.0283683640986337,vanilla_pokec_z_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.04606907413160195
vanilla,pokec_z,sage,vanilla,20260205-134321,10,0.698961270132051,0.0241512823783961,0.6146517902528592,0.1082099343713505,0.6157833203429462,0.0390188523467061,0.2848408219045415,0.066411937736738,0.2604,0.0738059452281481,vanilla_pokec_z_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.04962229670358684
vanilla,pokec_z,sgc,vanilla,20260205-134241,10,0.7409415464468361,0.0044466897669322,0.6809167564941052,0.0101755811343727,0.6806313328137177,0.003986694567045,0.3710056171009518,0.0268837865009257,0.2942,0.0285508640278134,vanilla_pokec_z_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.004480876840832734
