dataset,encoder,attack_mode,AUC_mean_clean,AUC_mean_attacked,AUC_mean_defended,F1_mean_clean,F1_mean_attacked,F1_mean_defended,DP_mean_clean,DP_mean_attacked,DP_mean_defended,EO_mean_clean,EO_mean_attacked,EO_mean_defended
bail,gat,tuned_nifa,0.9418414017993528,0.9358980157527558,0.9119143799763068,0.8669837989374753,0.862272613287138,0.816157241809545,0.0750779288748048,0.0769803567474615,0.0706664104982559,0.0521947685502935,0.0528376420346221,0.0569656066498894
bail,gcn,tuned_nifa,0.9047864952108072,0.9010986904335528,0.8951777943845987,0.8086452184190863,0.796296800791702,0.8004388450020778,0.0624292421632595,0.0644884443843762,0.0329904414915184,0.032345001143903,0.034645771371921,0.022083428658583
bail,gin,tuned_nifa,0.8535745416670493,0.855276692977381,0.8532048294471842,0.7442040466355178,0.7400535187947276,0.7346515436496907,0.0943118571227279,0.0980091832421287,0.1087533752404724,0.0624449020056432,0.0705414474185922,0.0703591855410661
bail,sage,tuned_nifa,0.915550967634301,0.920603525926538,0.9161120792045868,0.8260085136502611,0.8316654395303293,0.8383149174250362,0.0243741606830135,0.02313896285582,0.0442849522505916,0.0140334019675131,0.0132418210935712,0.034824220239457
bail,sgc,tuned_nifa,0.88765248428857,0.8873625823836069,0.9001769544774131,0.7873150039795429,0.7733148986858799,0.8071820301788767,0.0437672356528915,0.0414510263031519,0.0523060009547006,0.0236879432624113,0.0200526195378631,0.0302181041714329
german,gat,tuned_nifa,0.566487619047619,0.5204342857142856,0.5092990476190477,0.5521472116887732,0.6386016706014485,0.5876700442621681,0.0612656846699399,0.4650436442989634,0.1229541734860883,0.0763655462184873,0.5227941176470587,0.1332983193277311
german,gcn,tuned_nifa,0.7426971428571428,0.7238780952380951,0.65888,0.7603773916005582,0.708893979429346,0.5345097474280437,0.320430987452264,0.4008046917621386,0.0448308783415166,0.2581932773109243,0.3480042016806722,0.0606092436974789
german,gin,tuned_nifa,0.6833980952380952,0.6740114285714285,0.6770361904761906,0.6241708656045063,0.5780269602645627,0.592549653545301,0.2503818876159301,0.3105019094380796,0.1961811238406983,0.228781512605042,0.2737394957983193,0.1559873949579831
german,sage,tuned_nifa,0.6255085714285715,0.5774019047619048,0.646392380952381,0.5717136659433394,0.3449575477203317,0.5808732362213506,0.0828423349699945,0.095785597381342,0.0807555919258047,0.0503151260504201,0.093172268907563,0.0569327731092436
german,sgc,tuned_nifa,0.6979123809523808,0.6766171428571428,0.669912380952381,0.6348553159630883,0.7001348508215901,0.6672765765333079,0.2471085651936716,0.2644571740316421,0.1972585924713584,0.1836134453781512,0.2009453781512605,0.1432773109243697
nba,gat,tuned_nifa,0.6394871794871795,0.6664743589743589,0.7686538461538461,0.590631429891868,0.5601620248252475,0.6948813814774573,0.1383572567783094,0.2145135566188198,0.1288676236044657,0.2133333333333333,0.1699999999999999,0.1233333333333333
nba,gcn,tuned_nifa,0.6726282051282052,0.698397435897436,0.6864102564102563,0.6028538914465907,0.6086508504020798,0.6406240110456408,0.3,0.2858054226475279,0.4433014354066986,0.2799999999999999,0.28,0.3566666666666667
nba,gin,tuned_nifa,0.6063461538461539,0.5630128205128205,0.5838461538461538,0.57492207270038,0.4770802931673247,0.4374239550555339,0.0854066985645933,0.085645933014354,0.0669059011164274,0.1566666666666666,0.1133333333333332,0.09
nba,sage,tuned_nifa,0.6378846153846154,0.6224358974358974,0.6346794871794872,0.5751761734175085,0.5715688388750342,0.592465601800197,0.069377990430622,0.0459330143540669,0.1078149920255183,0.0566666666666666,0.0699999999999999,0.0866666666666666
nba,sgc,tuned_nifa,0.6825641025641026,0.6811538461538462,0.6850641025641027,0.5794754751968985,0.6086371928826662,0.6338288707298749,0.2923444976076556,0.310207336523126,0.2866028708133971,0.1866666666666666,0.2033333333333333,0.1733333333333334
pokec_n,gat,tuned_nifa,0.7556281214937497,0.7510702027874587,0.7448244020136428,0.672946344310918,0.6751208704659344,0.6620251496025806,0.0111038584479363,0.0339209858143511,0.0503306187206489,0.0112703946450983,0.0241205649740024,0.0345387174532342
pokec_n,gcn,tuned_nifa,0.7548425145380107,0.7528746702676582,0.7554131542104792,0.6294498512790485,0.6251026496624551,0.6602287648173251,0.0155691021607644,0.0293851453629802,0.0800137458199913,0.0259330238858896,0.0297308604099846,0.0521808076179851
pokec_n,gin,tuned_nifa,0.6987033286004124,0.680372196240803,0.6742467043314502,0.6243562003189816,0.619033950567308,0.603222765632366,0.022133291498229,0.0362829883337955,0.0336633450714418,0.0169771101858676,0.0367053807996493,0.0349909357132896
pokec_n,sage,tuned_nifa,0.7331814165003524,0.7282869391240455,0.7325894290376284,0.6705415825026046,0.6533313033493368,0.6532864343771586,0.0139346382524132,0.0238927004279693,0.0294150275803528,0.0227918003067912,0.0371898719046955,0.0406239416698209
pokec_n,sgc,tuned_nifa,0.7550988948795091,0.7517819612827209,0.7442497906592661,0.6740779410554911,0.6738913621067943,0.6571792439930412,0.0123154889804654,0.0522811804596445,0.0734764504781621,0.0195103293025479,0.0305002290973564,0.0702934438313046
pokec_z,gat,tuned_nifa,0.7878080146553699,0.7794043813449354,0.7761356232348675,0.6936801359779244,0.7033864945861952,0.6979051323709022,0.0375466074109146,0.0692934504818116,0.0599161470130904,0.0396,0.0621714285714285,0.0575428571428571
pokec_z,gcn,tuned_nifa,0.7787202503625676,0.7774913060071751,0.7743408900083963,0.6887748662048212,0.6981390353947076,0.689351483632999,0.0487311754483188,0.0900268211190083,0.1060977020461527,0.0295714285714285,0.0683142857142857,0.0986571428571428
pokec_z,gin,tuned_nifa,0.7185193801999847,0.6964663460804518,0.6839342034959162,0.64653070532858,0.6447780688767916,0.6290253859318364,0.0494612909647532,0.0586120810713382,0.028096130979603,0.0484571428571428,0.0593142857142857,0.0320571428571428
pokec_z,sage,tuned_nifa,0.760128967254408,0.752883352415846,0.7497168765743073,0.6743669287193503,0.6217996516734429,0.6394485703934378,0.0309201500045733,0.0436783402650367,0.0509103577404619,0.0395428571428571,0.0406285714285714,0.0579714285714285
pokec_z,sgc,tuned_nifa,0.7743172276925425,0.766245080528204,0.7650259980154187,0.7107105934132546,0.6989456033027228,0.7046861351163771,0.0332207940342514,0.1238541167862004,0.0683031943226389,0.0308571428571428,0.1048285714285714,0.0621999999999999
