dataset,encoder,model,attack_mode,AUC_mean_clean,AUC_std_clean,F1_mean_clean,F1_std_clean,ACC_mean_clean,ACC_std_clean,DP_mean_clean,DP_std_clean,EO_mean_clean,EO_std_clean,AUC_mean_attacked,AUC_std_attacked,F1_mean_attacked,F1_std_attacked,ACC_mean_attacked,ACC_std_attacked,DP_mean_attacked,DP_std_attacked,EO_mean_attacked,EO_std_attacked,AUC_mean_defended,AUC_std_defended,F1_mean_defended,F1_std_defended,ACC_mean_defended,ACC_std_defended,DP_mean_defended,DP_std_defended,EO_mean_defended,EO_std_defended
bail,gat,vanilla,degree,0.9418414017993528,0.0104810084228694,0.8669837989374753,0.0172379752365218,0.9040474676838312,0.0144564395919578,0.0750779288748048,0.0037047198496622,0.0521947685502935,0.0096221831340051,0.9421040306361408,0.0077053295146812,0.8683969412548818,0.0160702252674413,0.9038143674507312,0.0129422468210115,0.0741669554252587,0.005306487058884,0.0460870891481735,0.0126767939137034,0.918590666354428,0.0112702799293962,0.8264029272377401,0.0195360997817677,0.8734265734265735,0.0176621160114787,0.0712564485424999,0.006653903447496,0.0481766186227407,0.0119386477553514
bail,gat,vanilla,uncertainty,0.9418414017993528,0.0104810084228694,0.8669837989374753,0.0172379752365218,0.9040474676838312,0.0144564395919578,0.0750779288748048,0.0037047198496622,0.0521947685502935,0.0096221831340051,0.9402414838385786,0.0096430118458662,0.8653820664222541,0.018826734280921,0.9007204916295825,0.0148216128912967,0.0708327821758546,0.0044981767389597,0.0432845268054602,0.0086275267181834,0.9127873668775808,0.0067206211859629,0.8240867020653819,0.0098727570078769,0.8747616020343292,0.0094336538087982,0.0705987259635431,0.0074692115453569,0.0535705025547166,0.0110838921097019
bail,gcn,vanilla,degree,0.9047864952108072,0.0013609024549648,0.8086452184190863,0.006611186952455,0.8511337147700784,0.0083360120803254,0.0624292421632595,0.0028369074279794,0.032345001143903,0.0037946100700477,0.9065794578982652,0.0057563138625012,0.8110257817512911,0.0076875251803081,0.8536342445433356,0.0086650177748116,0.0615054902473882,0.0051783423308597,0.0369663692518874,0.0048170245222191,0.9083823119755842,0.0053979942772808,0.8115966991635795,0.0541508137930075,0.8463445645263826,0.0757816495713821,0.041069110115513,0.0098977660352174,0.0261572485319911,0.009637723501043
bail,gcn,vanilla,uncertainty,0.9047864952108072,0.0013609024549648,0.8086452184190863,0.006611186952455,0.8511337147700784,0.0083360120803254,0.0624292421632595,0.0028369074279794,0.032345001143903,0.0037946100700477,0.9016646616034996,0.0130969023830356,0.8043256775877079,0.0109573891662641,0.8487391396482306,0.0102261554223289,0.0638063510595163,0.0078638254909304,0.0384557309540151,0.0115049793414062,0.909290731863362,0.0084491273834477,0.8293874968528154,0.0157956159846591,0.8712862894681075,0.0136009459115518,0.0403018989052574,0.0071308002026164,0.0253443148021047,0.0079557089318677
bail,gin,vanilla,degree,0.8535745416670493,0.0104898751338443,0.7442040466355178,0.018288231266226,0.7910998092816274,0.0207882486030241,0.0943118571227279,0.012848756758887,0.0624449020056432,0.009313402030678,0.8509983990106316,0.0059279678259834,0.746323986070718,0.021673136297478,0.7972027972027973,0.0268884432109459,0.0944258568581723,0.0062680444926201,0.0655189506596507,0.0092101090107057,0.8550376255460354,0.0133376209265925,0.7411631523368918,0.030109284409144,0.7859927950837042,0.0368581435212308,0.1030705522310375,0.0130078446896177,0.0709380004575612,0.0188089244076964
bail,gin,vanilla,uncertainty,0.8535745416670493,0.0104898751338443,0.7442040466355178,0.018288231266226,0.7910998092816274,0.0207882486030241,0.0943118571227279,0.012848756758887,0.0624449020056432,0.009313402030678,0.8662007955968202,0.0101925445629819,0.7517598777984953,0.0289432605862135,0.7969908878999789,0.0380588163943948,0.0893150813939779,0.0167087509519088,0.0678860672614962,0.0089797273831085,0.859009162067266,0.0146834378237272,0.745306561079645,0.0266269192904841,0.7899131171858444,0.0289471830776251,0.103192693520976,0.0196955133621426,0.0700061008159841,0.0146445809417291
bail,sage,vanilla,degree,0.915550967634301,0.0058056492434387,0.8260085136502611,0.0164366625858244,0.8720067810976901,0.0219740853330201,0.0243741606830135,0.0192734670412319,0.0140334019675131,0.0093271903480594,0.9162253136163686,0.0083486284749182,0.8240112767039012,0.0210929590787326,0.8727484636575547,0.0233539530955891,0.0231315941199644,0.022469064131335,0.0190429344924883,0.0142588785745811,0.9191690543754764,0.0074476059331486,0.8332080586666031,0.0067265621267602,0.8801229073956346,0.0088582397633741,0.0173181108430408,0.0117474336696307,0.0172492945931518,0.0085253463014917
bail,sage,vanilla,uncertainty,0.915550967634301,0.0058056492434387,0.8260085136502611,0.0164366625858244,0.8720067810976901,0.0219740853330201,0.0243741606830135,0.0192734670412319,0.0140334019675131,0.0093271903480594,0.9170736772705428,0.0043299543376761,0.8202287054861117,0.0153247558507396,0.8671752489934308,0.0187847288048973,0.0381166194109037,0.0221005661498778,0.0195927705330588,0.0083409945549474,0.9221016792786672,0.0085553215889598,0.8281159563901085,0.0226123792477397,0.8719220173765627,0.027718870856639,0.0352892893806811,0.0199850657613293,0.0235583009227484,0.0182389709884713
bail,sgc,vanilla,degree,0.88765248428857,0.0015636559472076,0.7873150039795429,0.005932931051207,0.8347955075227803,0.0073188209015118,0.0437672356528915,0.0038570871841986,0.0236879432624113,0.0061663158182481,0.8865173851221252,0.0047931328604541,0.7878835658113761,0.0039147579231188,0.8363212545030727,0.0036755117263443,0.0417587159564403,0.00593023495836,0.0247708380995957,0.0053992639381131,0.8954829638507009,0.0047474049417215,0.7926687135391531,0.0171123540124328,0.8404322949777494,0.0223431203838543,0.0316788065092177,0.0045745905395691,0.0235338976588118,0.0037171633968748
bail,sgc,vanilla,uncertainty,0.88765248428857,0.0015636559472076,0.7873150039795429,0.005932931051207,0.8347955075227803,0.0073188209015118,0.0437672356528915,0.0038570871841986,0.0236879432624113,0.0061663158182481,0.8869768468774586,0.0040355859266763,0.7852068362215704,0.0097523919890012,0.8328035600762874,0.0108509151214173,0.0440866613659695,0.0054808965808219,0.0252352627163882,0.0072979580421001,0.899359814707674,0.0015954196016978,0.8039541235153956,0.0033052113320844,0.8529985166348801,0.0029302543774657,0.0367659840461476,0.003000836582161,0.0271204148554869,0.0027691758699727
