dataset,encoder,model,attack_mode,AUC_mean_clean,AUC_std_clean,F1_mean_clean,F1_std_clean,ACC_mean_clean,ACC_std_clean,DP_mean_clean,DP_std_clean,EO_mean_clean,EO_std_clean,AUC_mean_attacked,AUC_std_attacked,F1_mean_attacked,F1_std_attacked,ACC_mean_attacked,ACC_std_attacked,DP_mean_attacked,DP_std_attacked,EO_mean_attacked,EO_std_attacked,AUC_mean_defended,AUC_std_defended,F1_mean_defended,F1_std_defended,ACC_mean_defended,ACC_std_defended,DP_mean_defended,DP_std_defended,EO_mean_defended,EO_std_defended
bail,gat,vanilla,tuned_nifa,0.9418414017993528,0.0104810084228694,0.8669837989374753,0.0172379752365218,0.9040474676838312,0.0144564395919578,0.0750779288748048,0.0037047198496622,0.0521947685502935,0.0096221831340051,0.9358980157527558,0.0087018382766661,0.862272613287138,0.0168913159060046,0.9008688281415556,0.0109250703725172,0.0769803567474615,0.0080399917531024,0.0528376420346221,0.0099371062210314,0.9119143799763068,0.0048469319235506,0.816157241809545,0.009177363021059,0.8713286713286713,0.0053060329127558,0.0706664104982559,0.0061351466752349,0.0569656066498894,0.0035259461491031
bail,gcn,vanilla,tuned_nifa,0.9047864952108072,0.0013609024549648,0.8086452184190863,0.006611186952455,0.8511337147700784,0.0083360120803254,0.0624292421632595,0.0028369074279794,0.032345001143903,0.0037946100700477,0.9010986904335528,0.0078008619881047,0.796296800791702,0.013683862652799,0.8388005933460478,0.0142225877178515,0.0644884443843762,0.0050798872668759,0.034645771371921,0.0072579700766619,0.8951777943845987,0.0059654575163599,0.8004388450020778,0.0101092446156141,0.8483365119728756,0.0098600694967096,0.0329904414915184,0.0071129909413874,0.022083428658583,0.0023808058203737
bail,gin,vanilla,tuned_nifa,0.8535745416670493,0.0104898751338443,0.7442040466355178,0.018288231266226,0.7910998092816274,0.0207882486030241,0.0943118571227279,0.012848756758887,0.0624449020056432,0.009313402030678,0.855276692977381,0.0159962864834015,0.7400535187947276,0.0352524638607925,0.783237974147065,0.0467697273493303,0.0980091832421287,0.0136491884698058,0.0705414474185922,0.0065654889800166,0.8532048294471842,0.015190272209234,0.7346515436496907,0.0202187208229982,0.7790421699512609,0.0239112301259541,0.1087533752404724,0.0208585864915786,0.0703591855410661,0.0126359606326149
bail,sage,vanilla,tuned_nifa,0.915550967634301,0.0058056492434387,0.8260085136502611,0.0164366625858244,0.8720067810976901,0.0219740853330201,0.0243741606830135,0.0192734670412319,0.0140334019675131,0.0093271903480594,0.920603525926538,0.0090647647740824,0.8316654395303293,0.0149242207920729,0.8758847213392669,0.0136565804724671,0.02313896285582,0.0174208323887764,0.0132418210935712,0.0112538069569315,0.9161120792045868,0.0074883692449735,0.8383149174250362,0.0137325812548895,0.8863106590379317,0.0132311016780633,0.0442849522505916,0.0136019072954962,0.034824220239457,0.0161221613370667
bail,sgc,vanilla,tuned_nifa,0.88765248428857,0.0015636559472076,0.7873150039795429,0.005932931051207,0.8347955075227803,0.0073188209015118,0.0437672356528915,0.0038570871841986,0.0236879432624113,0.0061663158182481,0.8873625823836069,0.0065447323374058,0.7733148986858799,0.0332529122513179,0.8152998516634881,0.0454925596221582,0.0414510263031519,0.0062900789131617,0.0200526195378631,0.0042675023154301,0.9001769544774131,0.0079742330637357,0.8071820301788767,0.009814319441466,0.8523839796567069,0.0088735107025194,0.0523060009547006,0.007082639049704,0.0302181041714329,0.0049173085979887
german,gat,vanilla,tuned_nifa,0.566487619047619,0.0289083778392536,0.5521472116887732,0.171487562305505,0.5187999999999999,0.0837529700965882,0.0612656846699399,0.0462395735637986,0.0763655462184873,0.0380856627496861,0.5204342857142856,0.0188113359946805,0.6386016706014485,0.0804826728728763,0.5548,0.0543190574292301,0.4650436442989634,0.1206004509451132,0.5227941176470587,0.1262026828969874,0.5092990476190477,0.0501415348625004,0.5876700442621681,0.1911497864880897,0.5296,0.1199759975995198,0.1229541734860883,0.1478976994301077,0.1332983193277311,0.1478053157320842
german,gcn,vanilla,tuned_nifa,0.7426971428571428,0.0117600413407267,0.7603773916005582,0.0689067877678036,0.69,0.0502553479741211,0.320430987452264,0.0914229732964241,0.2581932773109243,0.09350840100138,0.7238780952380951,0.0135413627197704,0.708893979429346,0.0869641194554073,0.6504000000000001,0.0667940117076373,0.4008046917621386,0.0423335309490742,0.3480042016806722,0.053744263131094,0.65888,0.0453943956903349,0.5345097474280437,0.2570141772349226,0.5411999999999999,0.1335670618079172,0.0448308783415166,0.0327921052752206,0.0606092436974789,0.057332256096837
german,gin,vanilla,tuned_nifa,0.6833980952380952,0.026715822992862,0.6241708656045063,0.2247602965699149,0.5971999999999998,0.1152673414285243,0.2503818876159301,0.104912902149251,0.228781512605042,0.1085372276178565,0.6740114285714285,0.0197363689520243,0.5780269602645627,0.1591050814547373,0.5644,0.097594262126418,0.3105019094380796,0.1154078957992556,0.2737394957983193,0.1110420816729711,0.6770361904761906,0.0170766450421531,0.592549653545301,0.1623953725585803,0.5671999999999999,0.0883954749973096,0.1961811238406983,0.090750043697218,0.1559873949579831,0.0819492684321711
german,sage,vanilla,tuned_nifa,0.6255085714285715,0.0724812361925484,0.5717136659433394,0.3285433845160603,0.574,0.1763383112088805,0.0828423349699945,0.0798887310748484,0.0503151260504201,0.065301082899637,0.5774019047619048,0.1062053217724475,0.3449575477203317,0.3416607786093568,0.454,0.1724204164245058,0.095785597381342,0.1511570570430961,0.093172268907563,0.1522421244207141,0.646392380952381,0.0398814526308355,0.5808732362213506,0.2056247740584738,0.5592,0.1149441603562355,0.0807555919258047,0.0629609091625348,0.0569327731092436,0.0523269524228413
german,sgc,vanilla,tuned_nifa,0.6979123809523808,0.0118986230267191,0.6348553159630883,0.1858095104731201,0.5972000000000001,0.1173855186980063,0.2471085651936716,0.0796849540971497,0.1836134453781512,0.0572123280129488,0.6766171428571428,0.0331519322003526,0.7001348508215901,0.1067856572102254,0.6308,0.0738658243032595,0.2644571740316421,0.0807910333938616,0.2009453781512605,0.0670642893088518,0.669912380952381,0.0479439031234631,0.6672765765333079,0.1624632881276506,0.6112,0.1033332473117921,0.1972585924713584,0.1015021760026284,0.1432773109243697,0.0756582581199823
nba,gat,vanilla,tuned_nifa,0.6394871794871795,0.0555116361572008,0.590631429891868,0.040011335095956,0.6025316455696202,0.0335860738263838,0.1383572567783094,0.0700386970635225,0.2133333333333333,0.0933333333333333,0.6664743589743589,0.0638308665149753,0.5601620248252475,0.0427704025269908,0.5987341772151898,0.0388300294941214,0.2145135566188198,0.1057327257915332,0.1699999999999999,0.1196754871401082,0.7686538461538461,0.038048476380771,0.6948813814774573,0.0878185838931206,0.6898734177215189,0.0607726778944698,0.1288676236044657,0.0506642612119,0.1233333333333333,0.1000555401320242
