AUC_mean,AUC_std,F1_mean,F1_std,ACC_mean,ACC_std,DP_mean,DP_std,EO_mean,EO_std,name,dataset,encoder,attack_mode
0.9471509544712908,0.0061766423731738,0.8664680807778298,0.0333678221883349,0.899470226742954,0.0381784118154018,0.0714419429882704,0.0045975570019781,0.0472401433691756,0.0167670189233313,vanilla_bail_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.036252634794284574,bail,gat,no_attack
0.9422937559118753,0.0136029880738071,0.8661623136945547,0.0225269339048298,0.9014197923288834,0.019208102592978,0.0722992504737558,0.0066402639837362,0.0536238846945778,0.0092981313383435,vanilla_bail_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.036252634794284574,bail,gat,tuned_nifa
0.9209176397345356,0.008696129450049663,0.8183604410232881,0.014589712603921062,0.8596524687433778,0.01507777502665723,0.07054540147748548,0.005748906181655031,0.04611683062609624,0.0049427294747526026,edge_adder_bail_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0077461047764892125,bail,gat,EA Defense
0.880958921459686,0.0058971169250281,0.7734317564870532,0.0076981306833725,0.8250900614536978,0.0066979432134396,0.0866366357730918,0.0040219573449469,0.042970334782277,0.0063945858237348,vanilla_bail_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.015423598487653298,bail,gcn,no_attack
0.8761840969409777,0.0144705260074847,0.7580811242980022,0.0261360870276091,0.8160415342233523,0.0066772954211898,0.0882616037819947,0.0090334001384815,0.0467734309463891,0.0068559142827835,vanilla_bail_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.015423598487653298,bail,gcn,tuned_nifa
0.8720960065570157,0.0046973133590904265,0.7552952057889224,0.007463756843873827,0.8070989616444162,0.008232915047638336,0.08931766943779063,0.0062492979575980165,0.04207656524060095,0.006833177956585305,edge_adder_bail_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0005062309938444872,bail,gcn,EA Defense
0.8450563235253602,0.0077882578897923,0.7206524294130885,0.0163197297652835,0.7673659673659674,0.0214957521184356,0.0941465997417707,0.0258335677581488,0.0643193777167696,0.019700071390094,vanilla_bail_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.03662988795488364,bail,gin,no_attack
0.8406189828972703,0.0180453409985139,0.7159264785397805,0.0407162973650258,0.7605424878152152,0.0576939957421775,0.0895144146851357,0.0207418545459087,0.0640776328833981,0.0223922644954749,vanilla_bail_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.03662988795488364,bail,gin,tuned_nifa
0.8465192734783713,0.008338602219142953,0.740384567750041,0.01489213562955711,0.793409620682348,0.01667860838816129,0.07072336543466196,0.012626439072401857,0.05582932967284373,0.012871758250373372,edge_adder_bail_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0020823316882860616,bail,gin,EA Defense
0.9118200769576916,0.0079255749783987,0.7982667447887564,0.0498163103872127,0.8390972663699936,0.0675967458569603,0.0516603738860628,0.0403884278902406,0.0206901548082055,0.0088665996186902,vanilla_bail_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.033946860725703534,bail,sage,no_attack
