dataset,encoder,attack_mode,AUC_mean_clean,AUC_mean_attacked,AUC_mean_defended,F1_mean_clean,F1_mean_attacked,F1_mean_defended,DP_mean_clean,DP_mean_attacked,DP_mean_defended,EO_mean_clean,EO_mean_attacked,EO_mean_defended
bail,gat,degree,0.9418414017993528,0.9421040306361408,0.9132373581532602,0.8669837989374753,0.8683969412548818,0.8272239903279426,0.0750779288748048,0.0741669554252587,0.0723601413934603,0.0521947685502935,0.0460870891481735,0.0575947532982536
bail,gat,uncertainty,0.9418414017993528,0.9402414838385786,0.9179188840981654,0.8669837989374753,0.8653820664222541,0.8277654640402602,0.0750779288748048,0.0708327821758546,0.0685305195066613,0.0521947685502935,0.0432845268054602,0.0539540913597193
bail,gcn,degree,0.9047864952108072,0.9065794578982652,0.899938843660174,0.8086452184190863,0.8110257817512911,0.8148354021963179,0.0624292421632595,0.0615054902473882,0.074957171469405,0.032345001143903,0.0369663692518874,0.0497979104705254
bail,gcn,uncertainty,0.9047864952108072,0.9016646616034996,0.9014689192250354,0.8086452184190863,0.8043256775877079,0.8149580845837978,0.0624292421632595,0.0638063510595163,0.0717590682179593,0.032345001143903,0.0384557309540151,0.043849614885991
bail,gin,degree,0.8535745416670493,0.8509983990106316,0.8576293992769528,0.7442040466355178,0.746323986070718,0.7446567469376901,0.0943118571227279,0.0944258568581723,0.1130611921392482,0.0624449020056432,0.0655189506596507,0.0708525890337832
bail,gin,uncertainty,0.8535745416670493,0.8662007955968202,0.8539971929115658,0.7442040466355178,0.7517598777984953,0.7427688563457382,0.0943118571227279,0.0893150813939779,0.102355964578307,0.0624449020056432,0.0678860672614962,0.0727987493327232
bail,sage,degree,0.915550967634301,0.9162253136163686,0.9169503505799378,0.8260085136502611,0.8240112767039012,0.8281012142885593,0.0243741606830135,0.0231315941199644,0.0224196124835731,0.0140334019675131,0.0190429344924883,0.0157584076870281
bail,sage,uncertainty,0.915550967634301,0.9170736772705428,0.917640480694762,0.8260085136502611,0.8202287054861117,0.8306060411526628,0.0243741606830135,0.0381166194109037,0.0226509728169131,0.0140334019675131,0.0195927705330588,0.0176725387020513
bail,sgc,degree,0.88765248428857,0.8865173851221252,0.8894418214085645,0.7873150039795429,0.7878835658113761,0.7946712758935067,0.0437672356528915,0.0417587159564403,0.0629761101989055,0.0236879432624113,0.0247708380995957,0.0384648821779913
bail,sgc,uncertainty,0.88765248428857,0.8869768468774586,0.8917356002791783,0.7873150039795429,0.7852068362215704,0.8007649895122979,0.0437672356528915,0.0440866613659695,0.0694872150635652,0.0236879432624113,0.0252352627163882,0.0433432471593075
german,gat,degree,0.566487619047619,0.5358552380952382,0.5244990476190476,0.5521472116887732,0.5368168311967758,0.5309770072610908,0.0612656846699399,0.1408210583742498,0.1218085106382978,0.0763655462184873,0.1932773109243697,0.134453781512605
german,gat,uncertainty,0.566487619047619,0.5735657142857142,0.5686628571428571,0.5521472116887732,0.590143332592707,0.5904675266657472,0.0612656846699399,0.1928259683578832,0.130469176213857,0.0763655462184873,0.1826680672268907,0.1126050420168067
german,gcn,degree,0.7426971428571428,0.7360685714285714,0.7211428571428572,0.7603773916005582,0.6564605699808375,0.6311169524495706,0.320430987452264,0.25740589198036,0.2690534642662302,0.2581932773109243,0.2170168067226891,0.2244747899159664
german,gcn,uncertainty,0.7426971428571428,0.7360228571428571,0.7278857142857145,0.7603773916005582,0.6745598108747133,0.6656166836165149,0.320430987452264,0.255646481178396,0.2509819967266776,0.2581932773109243,0.1977941176470588,0.1948529411764706
german,gin,degree,0.6833980952380952,0.6813866666666666,0.6834438095238096,0.6241708656045063,0.6853185646965342,0.6533499724589762,0.2503818876159301,0.2896481178396072,0.2741680305510093,0.228781512605042,0.2626050420168067,0.2523109243697479
german,gin,uncertainty,0.6833980952380952,0.6806704761904763,0.6843276190476191,0.6241708656045063,0.6221709338669876,0.6146254393158121,0.2503818876159301,0.2199399890889252,0.2159710856519367,0.228781512605042,0.203781512605042,0.1887605042016807
german,sage,degree,0.6255085714285715,0.6586438095238095,0.6205180952380953,0.5717136659433394,0.5899233583331951,0.5610602889357441,0.0828423349699945,0.1114975450081833,0.1455810147299509,0.0503151260504201,0.0973739495798319,0.1397058823529411
german,sage,uncertainty,0.6255085714285715,0.6055238095238095,0.6139352380952381,0.5717136659433394,0.4756987764982993,0.7178149589074582,0.0828423349699945,0.069899072558647,0.1875886524822695,0.0503151260504201,0.0570378151260504,0.184453781512605
german,sgc,degree,0.6979123809523808,0.6878933333333332,0.6909485714285715,0.6348553159630883,0.5729335110437918,0.6668575005422518,0.2471085651936716,0.209683578832515,0.2071331151118385,0.1836134453781512,0.1821428571428571,0.1612394957983193
german,sgc,uncertainty,0.6979123809523808,0.6808990476190477,0.7008609523809524,0.6348553159630883,0.6007741295682549,0.6609327980287036,0.2471085651936716,0.2216721222040371,0.2477905073649754,0.1836134453781512,0.1762605042016806,0.190126050420168
nba,gat,degree,0.6394871794871795,0.6035897435897436,0.6427564102564103,0.590631429891868,0.5543148384321667,0.6087006327006328,0.1383572567783094,0.1726475279106858,0.0852472089314194,0.2133333333333333,0.2566666666666667,0.1633333333333333
