dataset,encoder,model,attack_mode,AUC_mean_clean,AUC_std_clean,F1_mean_clean,F1_std_clean,ACC_mean_clean,ACC_std_clean,DP_mean_clean,DP_std_clean,EO_mean_clean,EO_std_clean,AUC_mean_attacked,AUC_std_attacked,F1_mean_attacked,F1_std_attacked,ACC_mean_attacked,ACC_std_attacked,DP_mean_attacked,DP_std_attacked,EO_mean_attacked,EO_std_attacked,AUC_mean_defended,AUC_std_defended,F1_mean_defended,F1_std_defended,ACC_mean_defended,ACC_std_defended,DP_mean_defended,DP_std_defended,EO_mean_defended,EO_std_defended
nba,gat,vanilla,uncertainty,0.6394871794871795,0.0555116361572008,0.590631429891868,0.040011335095956,0.6025316455696202,0.0335860738263838,0.1383572567783094,0.0700386970635225,0.2133333333333333,0.0933333333333333,0.6505769230769232,0.0359208371526729,0.6384537727709338,0.0351926556747554,0.6253164556962025,0.0248049594205891,0.1175438596491228,0.0673824353506138,0.1566666666666666,0.0597215762238963,0.6433974358974359,0.0460380045532803,0.6220102574005264,0.0436303333268172,0.5974683544303797,0.0437762442171913,0.0778309409888357,0.0444361130646987,0.1833333333333333,0.1035481637800604
nba,gcn,vanilla,uncertainty,0.6726282051282052,0.0071442012917683,0.6028538914465907,0.0177364722640478,0.6075949367088607,0.009805021129639,0.3,0.0354802603792222,0.2799999999999999,0.0599999999999999,0.6755128205128205,0.0116687797466489,0.5970617774499754,0.0212893634065538,0.6088607594936708,0.0215189873417721,0.3389154704944178,0.0771103925031246,0.2766666666666666,0.1291424708520701,0.6826923076923077,0.0157018573255331,0.6196455261712711,0.0589775558896068,0.6215189873417721,0.0364460254402227,0.3562998405103668,0.0621976852695379,0.31,0.0856997342145496
nba,gin,vanilla,uncertainty,0.6063461538461539,0.0111562405328626,0.57492207270038,0.0703921218308164,0.5683544303797469,0.0327405497629811,0.0854066985645933,0.063160160173956,0.1566666666666666,0.0715697018452796,0.5877564102564102,0.0605851981866547,0.5002683927982048,0.2363224555932661,0.540506329113924,0.0463540086673431,0.0827751196172249,0.07321668617565,0.1033333333333333,0.0849182613523799,0.5700641025641026,0.0700192809456225,0.4060725276015974,0.2545952208187534,0.5481012658227848,0.0438676543067429,0.0527113237639553,0.0355870123058114,0.12,0.1034944979750668
nba,sage,vanilla,uncertainty,0.6378846153846154,0.0187272763903174,0.5751761734175085,0.0350280968097535,0.5746835443037974,0.0162104411074249,0.069377990430622,0.0452989867333081,0.0566666666666666,0.0578311719096582,0.6315384615384615,0.0249750039404951,0.5538704048582498,0.0424882972211174,0.5746835443037974,0.0241503595295429,0.0700956937799043,0.0521307303625637,0.0799999999999999,0.0702376916856849,0.6472115384615384,0.026228075437537,0.5749701792897626,0.0367663514087106,0.5848101265822785,0.0158101215149326,0.0432216905901116,0.0285477533206761,0.06,0.051207638319124
nba,sgc,vanilla,uncertainty,0.6825641025641026,0.0027764625420138,0.5794754751968985,0.0164319042886373,0.589873417721519,0.0171704556534816,0.2923444976076556,0.0350608857812209,0.1866666666666666,0.065319726474218,0.6896153846153846,0.0214849763266812,0.603861217183499,0.0432229451892812,0.6088607594936708,0.0243156616611374,0.3038277511961723,0.0535787850964702,0.2033333333333333,0.054670731556189,0.6794871794871795,0.0206645032907269,0.6271624213469564,0.0312873663181088,0.6101265822784809,0.0264311557187608,0.3767942583732057,0.0506768741196407,0.2666666666666667,0.0683130051063973
pokec_n,gat,vanilla,uncertainty,0.7556281214937497,0.00438513496165,0.672946344310918,0.0117440293331574,0.6910000000000001,0.0105818338019253,0.0111038584479363,0.008924661296802,0.0112703946450983,0.0083455432421066,0.7509871284408831,0.0059540140268123,0.6638167652739554,0.011723305179243,0.6883636363636364,0.0072818125070911,0.0162979481188677,0.0091513810547654,0.0319062892204713,0.0149062546224002,0.7524502795071143,0.006103766302792,0.661489008313265,0.0267212549988361,0.6814090909090909,0.0131605628003949,0.0278174495340708,0.0250749532164355,0.0242667888519234,0.0190083456859136
pokec_n,gcn,vanilla,uncertainty,0.7548425145380107,0.0113039678216091,0.6294498512790485,0.0868458433430109,0.6826818181818182,0.0269346086011263,0.0155691021607644,0.0135130528937317,0.0259330238858896,0.0146343308046904,0.7564721866425719,0.0047938250216097,0.6526844048451306,0.0349597906040193,0.6942727272727274,0.0076983415623053,0.0282271160578631,0.0257212960881768,0.0448353487260194,0.0335107986303352,0.7542684410155591,0.0059467489484719,0.642312505526785,0.0414115848726971,0.6888636363636363,0.0105003935384732,0.0350734122037108,0.0261164801346583,0.0444851285933422,0.0246789721108825
pokec_n,gin,vanilla,uncertainty,0.6987033286004124,0.0104955556973937,0.6243562003189816,0.0152391429747249,0.6372272727272728,0.0211218914285785,0.022133291498229,0.0214275262777281,0.0169771101858676,0.0146532030463013,0.6789140925203301,0.0166116957585515,0.6151636659278716,0.025127282293248,0.6287727272727273,0.0234714966933255,0.0385130421871541,0.0191948909938835,0.0344681953104767,0.0226747082493444,0.6830629279900975,0.010860315772987,0.6102343003939035,0.0198743335523884,0.6418636363636364,0.018007631531893,0.0513573530331851,0.0338190846440574,0.0530210968782995,0.0413491913837283
pokec_n,sage,vanilla,uncertainty,0.7331814165003524,0.0060958827522641,0.6705415825026046,0.0079454608348464,0.6567272727272727,0.0206303555531147,0.0139346382524132,0.0127810170262847,0.0227918003067912,0.0137582631216406,0.7299663813675162,0.0070409793912474,0.6671531195831164,0.0115601725302607,0.6542727272727273,0.013909685073465,0.0199196728644252,0.0121501199401612,0.0293439847002808,0.0202617286467239,0.721846319078305,0.0055625099775316,0.6565600883057454,0.0099569054748945,0.6595000000000001,0.013963426253154,0.0383539193796451,0.0227062450390912,0.0494037492280415,0.023009857877991
pokec_n,sgc,vanilla,uncertainty,0.7550988948795091,0.0008759590407647,0.6740779410554911,0.0123396104816454,0.7001363636363636,0.0054623050866373,0.0123154889804654,0.0063127510050203,0.0195103293025479,0.0080059782131513,0.7494139286884515,0.0035225383979851,0.668825800291462,0.0133109162140273,0.6828181818181818,0.0132580865702458,0.0370927964245926,0.0202848729186852,0.0470482299739028,0.024954157714493,0.7478552917696822,0.004651064780173,0.6531556107169804,0.0318208514694904,0.6832272727272727,0.0177394480333781,0.0486696343443795,0.0366891209400634,0.0519437416578679,0.0376146506876222
pokec_z,gat,vanilla,uncertainty,0.7878080146553699,0.0025949739858483,0.6936801359779244,0.0290215243026834,0.7108729540140296,0.0071039841504676,0.0375466074109146,0.0099681419399851,0.0396,0.0132296512981026,0.7846222425769025,0.0028808314159389,0.7062339037225396,0.0190225175161252,0.709236165237724,0.0085478425280115,0.0577414035219868,0.0208980002017214,0.0496,0.0174375620838628,0.7826144263796657,0.0039707678691477,0.6956247175554371,0.0210269106495157,0.7069368667186283,0.0053633153760994,0.0848374591764813,0.0146481715709905,0.0779142857142857,0.014780047223144
pokec_z,gcn,vanilla,uncertainty,0.7787202503625676,0.0071291542410892,0.6887748662048212,0.0362277901952453,0.7083787996882307,0.0135550752520084,0.0487311754483188,0.0078620849788459,0.0295714285714285,0.0067808253064604,0.7823693458514617,0.0032640742828539,0.6956986247886102,0.0208102964339911,0.7096258768511301,0.0045596258768511,0.0754418624671125,0.0212316871741713,0.0595714285714285,0.0190133143467671,0.7796999007709335,0.0027723935592648,0.6952355802904994,0.0139507454786358,0.7064692127825409,0.0034585670666147,0.1246528319550632,0.0129429219414526,0.1138571428571428,0.0149907454444264
pokec_z,gin,vanilla,uncertainty,0.7185193801999847,0.010580137717478,0.64653070532858,0.0272425561986309,0.6524551831644583,0.0128377890886333,0.0494612909647532,0.0144985551898014,0.0484571428571428,0.0166868884127017,0.7100210365620944,0.0098779750578254,0.631717929593354,0.0637155624636475,0.6438035853468433,0.0153112530058823,0.0576280123317963,0.0290564575245713,0.0682,0.0260586622364046,0.7077236852148691,0.0124947772577005,0.6375819950800761,0.0229906286769364,0.647310989867498,0.0149712168512804,0.0636888588784091,0.0223241217472229,0.0627428571428571,0.0244542721946785
pokec_z,sage,vanilla,uncertainty,0.760128967254408,0.0128567123866877,0.6743669287193503,0.0522286717901814,0.6729540140296181,0.0380717730296522,0.0309201500045733,0.0212308904225817,0.0395428571428571,0.015829809131599,0.7338608961148003,0.0410180429672721,0.5559006844423771,0.1901133447843883,0.6308261886204208,0.0675196148902135,0.042477442820172,0.0256527729784052,0.0451428571428571,0.0244512008803207,0.7579444317227692,0.0155967521258598,0.6606319939491704,0.0413381662296102,0.6693686671862822,0.0224022832092309,0.0574387579965673,0.0221292702063763,0.0591999999999999,0.0243779090362481
pokec_z,sgc,vanilla,uncertainty,0.7743172276925425,0.0012605467081941,0.7107105934132546,0.0114257355998217,0.7052611067809821,0.0105927745837863,0.0332207940342514,0.004350509116461,0.0308571428571428,0.0109402831735914,0.77194180596901,0.0031438479943552,0.7098567143548313,0.0081674224957144,0.697700701480904,0.0131893633647364,0.0878520776279047,0.0139287885230057,0.0725142857142857,0.0157826047357493,0.7697743378368064,0.0022152319546685,0.695695911391202,0.0107946499970574,0.6996492595479344,0.0047508067521925,0.14329431672056,0.0096898645975101,0.1392,0.0071972783971811
