dataset,encoder,attack_mode,AUC_mean_clean,AUC_mean_attacked,AUC_mean_defended,F1_mean_clean,F1_mean_attacked,F1_mean_defended,DP_mean_clean,DP_mean_attacked,DP_mean_defended,EO_mean_clean,EO_mean_attacked,EO_mean_defended,selected
nba,sgc,uncertainty,0.6825641025641026,0.6896153846153846,0.6794871794871795,0.5794754751968985,0.603861217183499,0.6271624213469564,0.2923444976076556,0.3038277511961723,0.3767942583732057,0.1866666666666666,0.2033333333333333,0.2666666666666667,1
pokec_n,gat,uncertainty,0.7556281214937497,0.7509871284408831,0.7524502795071143,0.672946344310918,0.6638167652739554,0.661489008313265,0.0111038584479363,0.0162979481188677,0.0278174495340708,0.0112703946450983,0.0319062892204713,0.0242667888519234,0
pokec_n,gcn,uncertainty,0.7548425145380107,0.7564721866425719,0.7542684410155591,0.6294498512790485,0.6526844048451306,0.642312505526785,0.0155691021607644,0.0282271160578631,0.0350734122037108,0.0259330238858896,0.0448353487260194,0.0444851285933422,1
pokec_n,gin,degree,0.6987033286004124,0.6725093417268211,0.6743611384164241,0.6243562003189816,0.6102415299845229,0.6062156140411047,0.022133291498229,0.0661552138399489,0.0190331982096816,0.0169771101858676,0.0540263362352331,0.0226925911907086,1
pokec_n,sage,degree,0.7331814165003524,0.7329893277597397,0.7276930485637405,0.6705415825026046,0.6604081992289154,0.6572735541642595,0.0139346382524132,0.0183087412022549,0.054649346186422,0.0227918003067912,0.0326788453493236,0.064202641592127,0
pokec_n,sgc,degree,0.7550988948795091,0.7503078053478697,0.7445232161356198,0.6740779410554911,0.6682072960324982,0.6557969683212259,0.0123154889804654,0.0400079934931471,0.0484767072784677,0.0195103293025479,0.0545749746000757,0.0563981911269597,0
pokec_z,gat,uncertainty,0.7878080146553699,0.7846222425769025,0.7826144263796657,0.6936801359779244,0.7062339037225396,0.6956247175554371,0.0375466074109146,0.0577414035219868,0.0848374591764813,0.0396,0.0496,0.0779142857142857,1
pokec_z,gcn,uncertainty,0.7787202503625676,0.7823693458514617,0.7796999007709335,0.6887748662048212,0.6956986247886102,0.6952355802904994,0.0487311754483188,0.0754418624671125,0.1246528319550632,0.0295714285714285,0.0595714285714285,0.1138571428571428,0
pokec_z,gin,degree,0.7185193801999847,0.7029548584077551,0.7052637203266926,0.64653070532858,0.6349169146007891,0.6264203824277479,0.0494612909647532,0.0428384653047169,0.0836914414535593,0.0484571428571428,0.0479142857142857,0.0851714285714285,0
pokec_z,sage,uncertainty,0.760128967254408,0.7338608961148003,0.7579444317227692,0.6743669287193503,0.5559006844423771,0.6606319939491704,0.0309201500045733,0.042477442820172,0.0574387579965673,0.0395428571428571,0.0451428571428571,0.0591999999999999,1
pokec_z,sgc,uncertainty,0.7743172276925425,0.77194180596901,0.7697743378368064,0.7107105934132546,0.7098567143548313,0.695695911391202,0.0332207940342514,0.0878520776279047,0.14329431672056,0.0308571428571428,0.0725142857142857,0.1392,1
